week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-06-22,0.0,0.0,0.0,,
2020-06-29,0.0,0.0,0.0,,
2020-07-06,0.0,0.0,0.0,,
2020-07-13,0.0,0.0,0.0,,
2020-07-20,0.0,0.0,0.0,,
2020-07-27,0.0,0.0,0.0,,
2020-08-03,0.0,0.0,0.0,,
2020-08-10,0.0,0.0,0.0,,
2020-08-17,0.0,0.0,0.0,,
2020-08-24,0.0,0.0,0.0,,
2020-08-31,0.0,0.0,0.0,,
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.0,0.0,,
2021-04-12,0.0,0.0,0.0,,
2021-04-19,0.0,0.0,0.0,,
2021-04-26,0.0,0.0,0.0,,
2021-05-03,0.0,0.0,0.0,,
2021-05-10,0.0,0.16666666666666666,0.0,,
2021-05-17,0.0,0.125,0.0,,
2021-05-24,0.0,0.0,0.0,,
2021-05-31,0.0,0.0,0.0,,
2021-06-07,0.0,0.0,0.0,,
2021-06-14,0.05555555555555555,0.0,0.0,,
2021-06-21,0.08,0.0,0.04,,
2021-06-28,0.08695652173913043,0.0,0.08695652173913043,,
2021-07-05,0.1,0.05,0.2,,
2021-07-12,0.1111111111111111,0.05555555555555555,0.3333333333333333,,
2021-07-19,0.09090909090909091,0.0,0.36363636363636365,,
2021-07-26,0.25,0.0,0.25,,
2021-08-02,0.0,0.0,0.5,,
2021-08-09,0.0,0.0,1.0,,
2021-08-16,0.0,0.0,1.0,,
2021-08-23,0.0,0.0,1.0,,
2021-08-30,0.0,0.0,0.8571428571428571,,
2021-09-06,0.06666666666666667,0.0,0.8666666666666667,,
2021-09-13,0.13043478260869565,0.0,0.782608695652174,,
2021-09-20,0.15384615384615385,0.0,0.7692307692307693,,
2021-09-27,0.14285714285714285,0.0,0.8095238095238095,,
