week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.0,0.0,
2021-06-28,0.0,0.005376344086021506,0.005376344086021506,0.0,
2021-07-05,0.0,0.016483516483516484,0.02197802197802198,0.0,
2021-07-12,0.0,0.016574585635359115,0.04419889502762431,0.0,
2021-07-19,0.0,0.022598870056497175,0.07909604519774012,0.0,
2021-07-26,0.0,0.0223463687150838,0.11173184357541899,0.0,
2021-08-02,0.0048543689320388345,0.02912621359223301,0.13106796116504854,0.0,
2021-08-09,0.008547008547008548,0.03418803418803419,0.13675213675213677,0.0,
2021-08-16,0.008547008547008548,0.038461538461538464,0.14102564102564102,0.0,
2021-08-23,0.0,0.03571428571428571,0.14732142857142858,0.0,
2021-08-30,0.0,0.0273972602739726,0.1689497716894977,0.0,
2021-09-06,0.0,0.019417475728155338,0.20388349514563106,0.0,
2021-09-13,0.0,0.016853932584269662,0.28651685393258425,0.0,
2021-09-20,0.0,0.02,0.38666666666666666,0.0,
2021-09-27,0.0,0.022727272727272728,0.42424242424242425,0.0,
2021-10-04,0.0,0.015503875968992248,0.4496124031007752,0.0,
2021-10-11,0.0,0.012738853503184714,0.47770700636942676,0.0,
2021-10-18,0.0,0.028708133971291867,0.5550239234449761,0.0,
2021-10-25,0.0,0.04780876494023904,0.6414342629482072,0.0,
2021-11-01,0.0,0.06201550387596899,0.686046511627907,0.0,
2021-11-08,0.0,0.0660377358490566,0.7028301886792453,0.0,
2021-11-15,0.0,0.07142857142857142,0.7071428571428572,0.0,
2021-11-22,0.0,0.06896551724137931,0.7241379310344828,0.0,
2021-11-29,0.0,0.06153846153846154,0.7692307692307693,0.015384615384615385,
2021-12-06,0.0,0.05172413793103448,0.6896551724137931,0.1724137931034483,
2021-12-13,0.0,0.03076923076923077,0.4153846153846154,0.46153846153846156,
2021-12-20,0.0,0.03125,0.265625,0.65625,
