week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.05172413793103448,0.0,
2021-04-12,0.0,0.0,0.07142857142857142,0.0,
2021-04-19,0.0,0.0,0.0410958904109589,0.0,
2021-04-26,0.014084507042253521,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.038461538461538464,0.0,
2021-05-17,0.0,0.0,0.06666666666666667,0.0,
2021-05-24,0.0,0.0,0.041666666666666664,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.018518518518518517,0.0,
2021-06-14,0.0,0.0,0.029411764705882353,0.0,
2021-06-21,0.0,0.0,0.045454545454545456,0.0,
2021-06-28,0.0,0.0,0.1,0.0,
2021-07-05,0.0,0.08333333333333333,0.3333333333333333,0.0,
2021-07-12,0.0,0.15384615384615385,0.46153846153846156,0.0,
2021-07-19,0.0,0.24390243902439024,0.5365853658536586,0.0,
2021-07-26,0.016129032258064516,0.20967741935483872,0.6774193548387096,0.0,
2021-08-02,0.008130081300813009,0.17886178861788618,0.7804878048780488,0.0,
2021-08-09,0.0091324200913242,0.182648401826484,0.7899543378995434,0.0,
2021-08-16,0.007722007722007722,0.1969111969111969,0.7799227799227799,0.0,
2021-08-23,0.0045662100456621,0.1963470319634703,0.7808219178082192,0.0,
2021-08-30,0.0,0.175,0.80625,0.0,
2021-09-06,0.0,0.15454545454545454,0.8272727272727273,0.0,
2021-09-13,0.0,0.14814814814814814,0.8395061728395061,0.0,
2021-09-20,0.0,0.11842105263157894,0.868421052631579,0.0,
2021-09-27,0.0,0.07692307692307693,0.8974358974358975,0.0,
2021-10-04,0.0,0.046875,0.921875,0.0,
2021-10-11,0.0,0.027777777777777776,0.9444444444444444,0.0,
2021-10-18,0.0,0.02380952380952381,0.9523809523809524,0.0,
2021-10-25,0.0,0.01666666666666667,0.9666666666666668,0.0,
2021-11-01,0.0,0.0,1.0,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,0.9791666666666666,0.0,
2021-11-22,0.0,0.0,0.96,0.0,
2021-11-29,0.0,0.0,1.0,0.0,
2021-12-06,0.0,0.02,0.96,0.0,
2021-12-13,0.0,0.0,0.8958333333333334,0.08333333333333333,
