week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.01639344262295082,0.0,0.0,0.0,0.0
2021-04-12,0.09859154929577464,0.0,0.04225352112676056,0.0,0.0
2021-04-19,0.17204301075268819,0.021505376344086023,0.0967741935483871,0.0,0.0
2021-04-26,0.18627450980392157,0.0392156862745098,0.13725490196078433,0.0,0.0
2021-05-03,0.19540229885057472,0.05747126436781609,0.1724137931034483,0.0,0.0
2021-05-10,0.19402985074626866,0.04477611940298507,0.1791044776119403,0.0,0.0
2021-05-17,0.12,0.02,0.14,0.0,0.0
2021-05-24,0.0625,0.0,0.125,0.0,0.0
2021-05-31,0.04838709677419355,0.016129032258064516,0.14516129032258066,0.0,0.0
2021-06-07,0.043478260869565216,0.057971014492753624,0.2318840579710145,0.0,0.0
2021-06-14,0.0547945205479452,0.0684931506849315,0.3972602739726027,0.0,0.0
2021-06-21,0.04716981132075472,0.05660377358490566,0.660377358490566,0.0,0.0
2021-06-28,0.021052631578947368,0.042105263157894736,0.8263157894736842,0.0,0.0
2021-07-05,0.009259259259259259,0.027777777777777776,0.904320987654321,0.0,0.0
2021-07-12,0.001937984496124031,0.013565891472868217,0.9573643410852714,0.0,0.0
2021-07-19,0.0013297872340425532,0.006648936170212766,0.9827127659574468,0.0,0.0
2021-07-26,0.0,0.007984031936127744,0.9870259481037924,0.0,0.0
2021-08-02,0.0,0.00974817221770918,0.9878147847278635,0.0,0.0
2021-08-09,0.0,0.007204610951008645,0.9906340057636888,0.0,0.0
2021-08-16,0.001326259946949602,0.004641909814323607,0.9927055702917772,0.0,0.0
2021-08-23,0.003676470588235294,0.003676470588235294,0.991421568627451,0.0,0.0
2021-08-30,0.004988913525498891,0.0022172949002217295,0.991130820399113,0.0,0.0
2021-09-06,0.0029154518950437317,0.0014577259475218659,0.9951409135082604,0.0,0.0
2021-09-13,0.0005125576627370579,0.0015376729882111738,0.9974372116863147,0.0,0.0
2021-09-20,0.0,0.0022026431718061676,0.9970631424375918,0.0,0.0
2021-09-27,0.0,0.004004004004004004,0.994994994994995,0.0,0.0
2021-10-04,0.0,0.005774783445620789,0.9932627526467758,0.0,0.0
2021-10-11,0.0,0.003499562554680665,0.9956255468066492,0.0,0.0
2021-10-18,0.0,0.0017376194613379669,0.9973935708079931,0.0,0.0
2021-10-25,0.0,0.0009532888465204957,0.9990467111534795,0.0,0.0
2021-11-01,0.0,0.0,0.9989417989417989,0.0,0.0
2021-11-08,0.0,0.001040582726326743,0.9989594172736732,0.0,0.0
2021-11-15,0.0,0.000984251968503937,0.9980314960629921,0.0,0.0
2021-11-22,0.0,0.0009633911368015414,0.9922928709055877,0.004816955684007707,0.0
2021-11-29,0.0,0.00264783759929391,0.9655781112091791,0.03000882612533098,0.0
2021-12-06,0.0,0.003098373353989156,0.876839659178931,0.11773818745158791,0.0
2021-12-13,0.0,0.001422475106685633,0.6770981507823614,0.3200568990042674,0.0
2021-12-20,0.0,0.0006657789613848203,0.40745672436750996,0.5912117177097204,0.0
2021-12-27,0.0,0.0,0.24115983026874116,0.7581329561527581,0.0
2022-01-03,0.0,0.0,0.17365967365967366,0.824009324009324,0.0
