week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.005988023952095809,0.0,
2021-05-03,0.0,0.0,0.00546448087431694,0.0,
2021-05-10,0.0,0.0,0.004149377593360996,0.0,
2021-05-17,0.0,0.0,0.003389830508474576,0.0,
2021-05-24,0.0,0.0,0.01953125,0.0,
2021-05-31,0.0,0.0,0.10160427807486631,0.0,
2021-06-07,0.005128205128205128,0.0,0.31794871794871793,0.0,
2021-06-14,0.0136986301369863,0.003424657534246575,0.4554794520547945,0.0,
2021-06-21,0.01694915254237288,0.00847457627118644,0.5282485875706214,0.0,
2021-06-28,0.016611295681063124,0.016611295681063124,0.6245847176079734,0.0,
2021-07-05,0.015151515151515152,0.056818181818181816,0.7386363636363636,0.0,
2021-07-12,0.013029315960912053,0.11400651465798045,0.7980456026058632,0.0,
2021-07-19,0.01675977653631285,0.1340782122905028,0.8212290502793296,0.0,
2021-07-26,0.016853932584269662,0.11797752808988764,0.8455056179775281,0.0,
2021-08-02,0.01524390243902439,0.08841463414634146,0.8810975609756098,0.0,
2021-08-09,0.013201320132013201,0.07590759075907591,0.8976897689768977,0.0,
2021-08-16,0.01644736842105263,0.06578947368421052,0.9111842105263158,0.0,
2021-08-23,0.015479876160990712,0.05263157894736842,0.9287925696594427,0.0,
2021-08-30,0.009554140127388535,0.044585987261146494,0.9394904458598726,0.0,
2021-09-06,0.007434944237918215,0.04460966542750929,0.9442379182156134,0.0,
2021-09-13,0.008,0.04,0.948,0.0,
2021-09-20,0.008032128514056224,0.03614457831325301,0.9518072289156626,0.0,
2021-09-27,0.00423728813559322,0.03389830508474576,0.961864406779661,0.0,
2021-10-04,0.0,0.022935779816513763,0.9724770642201835,0.0,
2021-10-11,0.004524886877828055,0.013574660633484163,0.9773755656108597,0.0,
2021-10-18,0.00398406374501992,0.00796812749003984,0.9880478087649402,0.0,
2021-10-25,0.0034482758620689655,0.006896551724137931,0.9862068965517241,0.0,
2021-11-01,0.003355704697986577,0.010067114093959731,0.9832214765100671,0.0,
2021-11-08,0.0036101083032490976,0.010830324909747292,0.9819494584837545,0.0,
2021-11-15,0.004524886877828055,0.00904977375565611,0.9819004524886877,0.0,
2021-11-22,0.0,0.006944444444444444,0.9652777777777778,0.013888888888888888,
2021-11-29,0.0,0.0,0.9207920792079208,0.06930693069306931,
2021-12-06,0.0,0.0,0.8636363636363636,0.125,
2021-12-13,0.0,0.0,0.8301886792452831,0.1509433962264151,
2021-12-20,0.0,0.0,0.7647058823529411,0.17647058823529413,
