week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-25,0.0,0.0,0.0,,
2020-06-01,0.0,0.0,0.0,,
2020-06-08,0.0,0.0,0.0,,
2020-06-15,0.0,0.0,0.0,,
2020-06-22,0.0,0.0,0.0,,
2020-06-29,0.0,0.0,0.0,,
2020-07-06,0.0,0.0,0.0,,
2020-07-13,0.0,0.0,0.0,,
2020-07-20,0.0,0.0,0.0,,
2020-07-27,0.0,0.0,0.0,,
2020-08-03,0.0,0.0,0.0,,
2020-08-10,0.0,0.0,0.0,,
2020-08-17,0.0,0.0,0.0,,
2020-08-24,0.0,0.0,0.0,,
2020-08-31,0.0,0.0,0.0,,
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.18181818181818182,0.0,,
2021-04-12,0.0,0.18181818181818182,0.0,,
2021-04-19,0.0,0.18181818181818182,0.0,,
2021-04-26,0.0,0.0,0.0,,
2021-05-03,0.0,0.125,0.0,,
2021-05-10,0.0,0.3888888888888889,0.0,,
2021-05-17,0.038461538461538464,0.5,0.0,,
2021-05-24,0.0,0.64,0.0,,
2021-05-31,0.0,0.6818181818181818,0.045454545454545456,,
2021-06-07,0.0,0.7058823529411765,0.058823529411764705,,
2021-06-14,0.06666666666666667,0.6666666666666666,0.06666666666666667,,
2021-06-21,0.07142857142857142,0.6785714285714286,0.17857142857142858,,
2021-06-28,0.0625,0.6666666666666666,0.22916666666666666,,
2021-07-05,0.0625,0.625,0.25,,
2021-07-12,0.05263157894736842,0.6052631578947368,0.2631578947368421,,
2021-07-19,0.047619047619047616,0.5714285714285714,0.3333333333333333,,
2021-07-26,0.021739130434782608,0.5434782608695652,0.3695652173913043,,
2021-08-02,0.015544041450777202,0.46632124352331605,0.46632124352331605,,
2021-08-09,0.009900990099009901,0.39603960396039606,0.5544554455445545,,
2021-08-16,0.004739336492890996,0.33175355450236965,0.6350710900473934,,
2021-08-23,0.0,0.2727272727272727,0.7090909090909091,,
2021-08-30,0.0036363636363636364,0.3054545454545455,0.6727272727272727,,
2021-09-06,0.007272727272727273,0.3381818181818182,0.6363636363636364,,
2021-09-13,0.01090909090909091,0.3709090909090909,0.6,,
2021-09-20,0.014545454545454545,0.4036363636363636,0.5636363636363636,,
2021-09-27,0.01818181818181818,0.43636363636363634,0.5272727272727272,,
2021-10-04,0.023255813953488372,0.3875968992248062,0.5813953488372093,,
2021-10-11,0.01694915254237288,0.3163841807909605,0.6610169491525424,,
2021-10-18,0.005,0.27,0.72,,
2021-10-25,0.0045871559633027525,0.24311926605504589,0.7477064220183486,,
2021-11-01,0.0045871559633027525,0.19724770642201836,0.7935779816513762,,
2021-11-08,0.005235602094240838,0.14136125654450263,0.8429319371727748,,
