week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.029411764705882353,0.0,0.0,0.0,
2021-05-03,0.14814814814814814,0.0,0.0,0.0,
2021-05-10,0.2857142857142857,0.0,0.0,0.0,
2021-05-17,0.3333333333333333,0.0,0.027777777777777776,0.0,
2021-05-24,0.3409090909090909,0.0,0.045454545454545456,0.0,
2021-05-31,0.38636363636363635,0.0,0.11363636363636363,0.0,
2021-06-07,0.475,0.0,0.175,0.0,
2021-06-14,0.5,0.0,0.22727272727272727,0.0,
2021-06-21,0.5357142857142857,0.017857142857142856,0.30357142857142855,0.0,
2021-06-28,0.5333333333333333,0.02666666666666667,0.37333333333333335,0.0,
2021-07-05,0.52,0.04,0.41,0.0,
2021-07-12,0.5092592592592593,0.037037037037037035,0.42592592592592593,0.0,
2021-07-19,0.49,0.03,0.46,0.0,
2021-07-26,0.47368421052631576,0.010526315789473684,0.5052631578947369,0.0,
2021-08-02,0.4666666666666667,0.009523809523809525,0.5047619047619047,0.0,
2021-08-09,0.4649122807017544,0.02631578947368421,0.5,0.0,
2021-08-16,0.4392523364485981,0.037383177570093455,0.5233644859813084,0.0,
2021-08-23,0.3684210526315789,0.031578947368421054,0.5894736842105263,0.0,
2021-08-30,0.29069767441860467,0.023255813953488372,0.6744186046511628,0.0,
2021-09-06,0.21518987341772153,0.02531645569620253,0.7468354430379747,0.0,
2021-09-13,0.1643835616438356,0.0273972602739726,0.8082191780821918,0.0,
2021-09-20,0.12307692307692308,0.015384615384615385,0.8461538461538461,0.0,
2021-09-27,0.10714285714285714,0.03571428571428571,0.8571428571428571,0.0,
2021-10-04,0.10714285714285714,0.03571428571428571,0.8392857142857143,0.0,
2021-10-11,0.08196721311475409,0.01639344262295082,0.8852459016393442,0.0,
2021-10-18,0.05,0.016666666666666666,0.9166666666666666,0.0,
2021-10-25,0.018867924528301886,0.0,0.9433962264150944,0.0,
2021-11-01,0.02040816326530612,0.0,0.9795918367346939,0.0,
2021-11-08,0.018867924528301886,0.0,0.9622641509433962,0.0,
2021-11-15,0.017543859649122806,0.017543859649122806,0.9473684210526315,0.0,
2021-11-22,0.0,0.01694915254237288,0.9661016949152542,0.0,
2021-11-29,0.0,0.0,0.96875,0.0,
2021-12-06,0.0,0.0,0.9701492537313433,0.0,
2021-12-13,0.0,0.0,0.9491525423728814,0.03389830508474576,
2021-12-20,0.0,0.0,0.8837209302325582,0.09302325581395349,
2021-12-27,0.0,0.0,0.7333333333333333,0.2,
2022-01-03,0.0,0.0,0.55,0.4,
