week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0006574621959237344,0.0006574621959237344,0.0013149243918474688,0.0,0.0
2021-04-19,0.0012970168612191958,0.00324254215304799,0.005188067444876783,0.0,0.0
2021-04-26,0.0024783147459727386,0.006815365551425031,0.010532837670384139,0.0,0.0
2021-05-03,0.005494505494505495,0.009768009768009768,0.01282051282051282,0.0,0.0
2021-05-10,0.009968847352024923,0.009968847352024923,0.012461059190031152,0.0,0.0
2021-05-17,0.011450381679389313,0.010814249363867684,0.01717557251908397,0.0,0.0
2021-05-24,0.008632138114209827,0.01593625498007968,0.028552456839309428,0.0,0.0
2021-05-31,0.007535795026375283,0.028636021100226075,0.03692539562923888,0.0,0.0
2021-06-07,0.012704174228675136,0.050816696914700546,0.04446460980036298,0.0,0.0
2021-06-14,0.026106696935300794,0.07945516458569807,0.07037457434733257,0.0,0.0
2021-06-21,0.04895104895104895,0.11748251748251748,0.15244755244755245,0.0,0.0
2021-06-28,0.07210884353741497,0.16598639455782313,0.3183673469387755,0.0,0.0
2021-07-05,0.07095553453169347,0.18543046357615894,0.4900662251655629,0.0,0.0
2021-07-12,0.05855562784645413,0.18867924528301888,0.5888093689004554,0.0,0.0
2021-07-19,0.04934924078091106,0.20336225596529284,0.6437093275488069,0.0,0.0
2021-07-26,0.042819843342036555,0.20678851174934726,0.6924281984334204,0.0,0.0
2021-08-02,0.035114503816793895,0.18727735368956744,0.7486005089058524,0.0,0.0
2021-08-09,0.02763466042154567,0.16206088992974238,0.7967213114754098,0.0,0.0
2021-08-16,0.022696929238985315,0.14330218068535824,0.8264352469959947,0.0,0.0
2021-08-23,0.01956425077812361,0.13072476656291684,0.8443752779012894,0.0,0.0
2021-08-30,0.017217942908926143,0.12188491164476666,0.8568192115994563,0.0,0.0
2021-09-06,0.014584346135148274,0.10889645114244045,0.8745746232377248,0.0,0.0
2021-09-13,0.010710259301014656,0.09131905298759865,0.8962795941375423,0.0,0.0
2021-09-20,0.005791505791505791,0.08301158301158301,0.9099099099099099,0.0,0.0
2021-09-27,0.0020215633423180594,0.08557951482479785,0.9097035040431267,0.0,0.0
2021-10-04,0.0013175230566534915,0.08300395256916997,0.9137022397891963,0.0,0.0
2021-10-11,0.0012391573729863693,0.07001239157372986,0.9275092936802974,0.0,0.0
2021-10-18,0.0005743825387708214,0.05858701895462378,0.9385410683515221,0.0,0.0
2021-10-25,0.0005662514156285391,0.052095130237825596,0.9456398640996603,0.0,0.0
2021-11-01,0.0,0.047080979284369114,0.9510357815442562,0.0,0.0
2021-11-08,0.0,0.04155313351498638,0.9570844686648501,0.0,0.0
2021-11-15,0.000641025641025641,0.035256410256410256,0.9621794871794872,0.000641025641025641,0.0
2021-11-22,0.0006176652254478073,0.03150092649783817,0.9629400864731316,0.0030883261272390363,0.0
2021-11-29,0.0006459948320413437,0.029715762273901807,0.9496124031007752,0.018733850129198967,0.0
2021-12-06,0.0006246096189881324,0.029981261711430358,0.8994378513429107,0.0693316677076827,0.0
2021-12-13,0.0,0.029922202274087373,0.8162776780371035,0.15140634350688212,0.0
2021-12-20,0.0,0.0262582056892779,0.7140773158278628,0.25601750547045954,0.0
2021-12-27,0.0,0.020179372197309416,0.5751121076233184,0.40022421524663676,0.0011210762331838565
2022-01-03,0.0,0.01232394366197183,0.3961267605633803,0.5845070422535211,0.0017605633802816902
