week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.0,0.0,
2021-06-28,0.0,0.0,0.0,0.0,
2021-07-05,0.0,0.0,0.0,0.0,
2021-07-12,0.0,0.375,0.125,0.0,
2021-07-19,0.0,0.5833333333333334,0.16666666666666666,0.0,
2021-07-26,0.0,0.5833333333333334,0.25,0.0,
2021-08-02,0.0,0.5,0.4166666666666667,0.0,
2021-08-09,0.0,0.42857142857142855,0.5,0.0,
2021-08-16,0.0,0.4117647058823529,0.5294117647058824,0.0,
2021-08-23,0.0,0.3888888888888889,0.6111111111111112,0.0,
2021-08-30,0.0,0.2916666666666667,0.6666666666666666,0.0,
2021-09-06,0.0,0.2702702702702703,0.7297297297297297,0.0,
2021-09-13,0.0,0.2682926829268293,0.7073170731707317,0.0,
2021-09-20,0.0,0.3611111111111111,0.6111111111111112,0.0,
2021-09-27,0.0,0.39473684210526316,0.5526315789473685,0.0,
2021-10-04,0.0,0.3783783783783784,0.5945945945945946,0.0,
2021-10-11,0.0,0.2702702702702703,0.6756756756756757,0.0,
2021-10-18,0.0,0.21621621621621623,0.7567567567567568,0.0,
2021-10-25,0.0,0.18181818181818182,0.8181818181818182,0.0,
2021-11-01,0.0,0.22580645161290322,0.7419354838709677,0.0,
2021-11-08,0.0,0.26666666666666666,0.7333333333333333,0.0,
2021-11-15,0.0,0.24242424242424243,0.7575757575757576,0.0,
2021-11-22,0.0,0.15789473684210525,0.8421052631578947,0.0,
2021-11-29,0.0,0.11363636363636363,0.8863636363636364,0.0,
2021-12-06,0.0,0.11627906976744186,0.8604651162790697,0.0,
2021-12-13,0.0,0.10810810810810811,0.8648648648648649,0.0,
2021-12-20,0.0,0.10344827586206896,0.8275862068965517,0.034482758620689655,
