week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-09-07,0.0,,0.0,0.0,
2020-09-14,0.0,,0.0,0.0,
2020-09-21,0.0,,0.0,0.0,
2020-09-28,0.0,,0.0,0.0,
2020-10-05,0.0,,0.0,0.0,
2020-10-12,0.0,,0.0,0.0,
2020-10-19,0.0,,0.0,0.0,
2020-10-26,0.0,,0.0,0.0,
2020-11-02,0.0,,0.0,0.0,
2020-11-09,0.0,,0.0,0.0,
2020-11-16,0.0,,0.0,0.0,
2020-11-23,0.0,,0.0,0.0,
2020-11-30,0.0,,0.0,0.0,
2020-12-07,0.0,,0.0,0.0,
2020-12-14,0.0,,0.0,0.0,
2020-12-21,0.0,,0.0,0.0,
2020-12-28,0.0,,0.0,0.0,
2021-01-04,0.0,,0.0,0.0,
2021-01-11,0.0,,0.0,0.0,
2021-01-18,0.0,,0.0,0.0,
2021-01-25,0.0,,0.0,0.0,
2021-02-01,0.0,,0.0,0.0,
2021-02-08,0.0,,0.0,0.0,
2021-02-15,0.0,,0.0,0.0,
2021-02-22,0.0,,0.0,0.0,
2021-03-01,0.0,,0.0,0.0,
2021-03-08,0.0,,0.0,0.0,
2021-03-15,0.0,,0.0,0.0,
2021-03-22,0.0,,0.0,0.0,
2021-03-29,0.0,,0.0,0.0,
2021-04-05,0.0,,0.0,0.0,
2021-04-12,0.0,,0.0,0.0,
2021-04-19,0.0,,0.0,0.0,
2021-04-26,0.0,,0.0,0.0,
2021-05-03,0.0,,0.0,0.0,
2021-05-10,0.125,,0.0,0.0,
2021-05-17,0.11764705882352941,,0.0,0.0,
2021-05-24,0.038461538461538464,,0.038461538461538464,0.0,
2021-05-31,0.0,,0.11764705882352941,0.0,
2021-06-07,0.0,,0.19148936170212766,0.0,
2021-06-14,0.0,,0.4,0.0,
2021-06-21,0.0,,0.6075949367088608,0.0,
2021-06-28,0.0,,0.6823529411764706,0.0,
2021-07-05,0.0,,0.746268656716418,0.0,
2021-07-12,0.0,,0.8,0.0,
2021-07-19,0.0,,0.9,0.0,
2021-07-26,0.0,,0.9411764705882353,0.0,
2021-08-02,0.0,,0.9666666666666667,0.0,
2021-08-09,0.0,,1.0,0.0,
2021-08-16,0.0,,0.9772727272727273,0.0,
2021-08-23,0.0,,1.0,0.0,
2021-08-30,0.0,,1.0,0.0,
2021-09-06,0.0,,0.9901960784313726,0.0,
2021-09-13,0.0,,0.9852941176470589,0.0,
2021-09-20,0.0,,0.96,0.0,
2021-09-27,0.0,,0.9736842105263158,0.0,
2021-10-04,0.0,,1.0,0.0,
2021-10-11,0.0,,1.0,0.0,
2021-10-18,0.0,,1.0,0.0,
2021-10-25,0.0,,1.0,0.0,
2021-11-01,0.0,,0.9722222222222222,0.0,
2021-11-08,0.0,,0.9574468085106383,0.02127659574468085,
2021-11-15,0.0,,0.9074074074074074,0.07407407407407407,
2021-11-22,0.0,,0.7540983606557377,0.18032786885245902,
2021-11-29,0.0,,0.524390243902439,0.3780487804878049,
2021-12-06,0.0,,0.2743362831858407,0.6283185840707964,
2021-12-13,0.0,,0.10852713178294573,0.8449612403100775,
