week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0005405405405405405,0.0,
2021-05-03,0.0005662514156285391,0.0,0.0005662514156285391,0.0,
2021-05-10,0.0,0.0,0.0011827321111768185,0.0,
2021-05-17,0.0,0.0,0.0016769144773616546,0.0,
2021-05-24,0.0,0.0005055611729019212,0.0010111223458038423,0.0,
2021-05-31,0.0,0.0,0.0009293680297397769,0.0,
2021-06-07,0.0,0.0,0.0017043033659991478,0.0,
2021-06-14,0.0,0.0,0.0036809815950920245,0.0,
2021-06-21,0.0,0.0,0.008746355685131196,0.0,
2021-06-28,0.0,0.0,0.02158273381294964,0.0,
2021-07-05,0.0,0.0,0.041728763040238454,0.0,
2021-07-12,0.0,0.0,0.06825811264453562,0.0,
2021-07-19,0.0,0.0003780718336483932,0.0998109640831758,0.0,
2021-07-26,0.0,0.0019282684149633628,0.14963362900115695,0.0,
2021-08-02,0.000390015600624025,0.0031201248049922,0.2421996879875195,0.0,
2021-08-09,0.00039154267815191856,0.003915426781519186,0.375097885669538,0.0,
2021-08-16,0.0004257130693912303,0.004257130693912303,0.5308641975308642,0.0,
2021-08-23,0.0004572473708276177,0.0054869684499314125,0.6753543667123914,0.0,
2021-08-30,0.00041118421052631577,0.0078125,0.7828947368421053,0.0,
2021-09-06,0.00035435861091424523,0.00956768249468462,0.8532955350815025,0.0,
2021-09-13,0.0,0.009371745921555015,0.8868448455397432,0.0,
2021-09-20,0.0,0.009988474836726853,0.9004994237418363,0.0,
2021-09-27,0.0004166666666666667,0.01,0.9216666666666666,0.0,
2021-10-04,0.0004045307443365696,0.00849514563106796,0.9494336569579288,0.0,
2021-10-11,0.00041407867494824016,0.008695652173913044,0.9652173913043478,0.0,
2021-10-18,0.0,0.012013455069678039,0.9716482460355599,0.0,
2021-10-25,0.0,0.014212620807276862,0.9744172825469016,0.0,
2021-11-01,0.0,0.0140485312899106,0.9770114942528736,0.0,
2021-11-08,0.0,0.014046822742474917,0.9785953177257525,0.0,
2021-11-15,0.0,0.012890094979647219,0.9816824966078698,0.0,
2021-11-22,0.0,0.009292351679771264,0.9835596854896355,0.0007147962830593281,
2021-11-29,0.0,0.008237232289950576,0.9810543657331137,0.004118616144975288,
2021-12-06,0.0,0.009414225941422594,0.9623430962343096,0.02301255230125523,
2021-12-13,0.0,0.01094391244870041,0.8974008207934336,0.08755129958960328,
2021-12-20,0.0,0.01107011070110701,0.7712177121771218,0.2140221402214022,
2021-12-27,0.0,0.015060240963855422,0.6054216867469879,0.3795180722891566,
2022-01-03,0.0,0.013422818791946308,0.436241610738255,0.5436241610738255,
