week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.04878048780487805,0.0,
2021-06-14,0.0,0.0,0.16326530612244897,0.0,
2021-06-21,0.0,0.0,0.3333333333333333,0.0,
2021-06-28,0.0,0.0,0.4520547945205479,0.0,
2021-07-05,0.0,0.011904761904761904,0.5476190476190477,0.0,
2021-07-12,0.0,0.045454545454545456,0.6704545454545454,0.0,
2021-07-19,0.0,0.07407407407407407,0.7962962962962963,0.0,
2021-07-26,0.00641025641025641,0.08974358974358974,0.8589743589743589,0.0,
2021-08-02,0.004629629629629629,0.10648148148148148,0.8611111111111112,0.0,
2021-08-09,0.007168458781362007,0.12186379928315412,0.8566308243727598,0.0,
2021-08-16,0.002849002849002849,0.13105413105413105,0.8547008547008547,0.0,
2021-08-23,0.0,0.14114832535885166,0.8492822966507177,0.0,
2021-08-30,0.0,0.15172413793103448,0.8413793103448276,0.0,
2021-09-06,0.0,0.15763546798029557,0.8374384236453202,0.0,
2021-09-13,0.0,0.17232375979112272,0.825065274151436,0.0,
2021-09-20,0.0,0.1949367088607595,0.8050632911392405,0.0,
2021-09-27,0.0,0.19672131147540983,0.7985948477751756,0.0,
2021-10-04,0.0,0.1895424836601307,0.8082788671023965,0.0,
2021-10-11,0.0,0.18200408997955012,0.8159509202453987,0.0,
2021-10-18,0.0,0.1787819253438114,0.8212180746561886,0.0,
2021-10-25,0.0,0.17704280155642024,0.8210116731517509,0.0,
2021-11-01,0.0,0.18813905930470348,0.8098159509202454,0.0,
2021-11-08,0.0,0.20042643923240938,0.7974413646055437,0.0,
2021-11-15,0.0,0.1956521739130435,0.8021739130434783,0.0,
2021-11-22,0.0,0.18468468468468469,0.8130630630630631,0.0,
2021-11-29,0.0,0.17307692307692307,0.8269230769230769,0.0,
2021-12-06,0.0,0.15915915915915915,0.8378378378378378,0.0,
2021-12-13,0.0,0.14583333333333334,0.8489583333333334,0.005208333333333333,
2021-12-20,0.0,0.13580246913580246,0.8148148148148148,0.037037037037037035,
