week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.05714285714285714,0.0,0.0,0.0,
2021-06-07,0.1111111111111111,0.0,0.0,0.0,
2021-06-14,0.19444444444444445,0.0,0.0,0.0,
2021-06-21,0.25,0.0,0.0,0.0,
2021-06-28,0.28888888888888886,0.0,0.0,0.0,
2021-07-05,0.3111111111111111,0.0,0.022222222222222223,0.0,
2021-07-12,0.34782608695652173,0.0,0.021739130434782608,0.0,
2021-07-19,0.34615384615384615,0.0,0.057692307692307696,0.0,
2021-07-26,0.30357142857142855,0.05357142857142857,0.08928571428571429,0.0,
2021-08-02,0.25,0.09615384615384616,0.11538461538461539,0.0,
2021-08-09,0.20833333333333334,0.0625,0.10416666666666667,0.0,
2021-08-16,0.22,0.0,0.08,0.0,
2021-08-23,0.2653061224489796,0.0,0.08163265306122448,0.0,
2021-08-30,0.2653061224489796,0.0,0.12244897959183673,0.0,
2021-09-06,0.23076923076923078,0.0,0.17307692307692307,0.0,
2021-09-13,0.22033898305084745,0.0,0.2033898305084746,0.0,
2021-09-20,0.2903225806451613,0.0,0.1774193548387097,0.0,
2021-09-27,0.39655172413793105,0.0,0.15517241379310345,0.0,
2021-10-04,0.5185185185185185,0.0,0.12962962962962962,0.0,
2021-10-11,0.5833333333333334,0.0,0.15,0.0,
2021-10-18,0.6231884057971014,0.0,0.2028985507246377,0.0,
2021-10-25,0.6571428571428571,0.0,0.2571428571428571,0.0,
2021-11-01,0.6716417910447762,0.0,0.2835820895522388,0.0,
2021-11-08,0.7014925373134329,0.0,0.2835820895522388,0.0,
2021-11-15,0.7101449275362319,0.0,0.2898550724637681,0.0,
2021-11-22,0.6619718309859155,0.0,0.3380281690140845,0.0,
2021-11-29,0.5945945945945946,0.0,0.3918918918918919,0.0,
2021-12-06,0.5507246376811594,0.0,0.42028985507246375,0.0,
2021-12-13,0.5081967213114754,0.01639344262295082,0.4098360655737705,0.03278688524590164,
2021-12-20,0.4528301886792453,0.018867924528301886,0.37735849056603776,0.1320754716981132,
2021-12-27,0.35555555555555557,0.0,0.3333333333333333,0.28888888888888886,
