week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0008254230293025176,0.0004127115146512588,0.0002063557573256294,0.0,0.0
2021-04-12,0.002373887240356083,0.0011869436201780415,0.000791295746785361,0.0,0.0
2021-04-19,0.004742033383915023,0.002276176024279211,0.0017071320182094083,0.0,0.0
2021-04-26,0.008002977852224083,0.0027917364600781687,0.003908431044109436,0.0,0.0
2021-05-03,0.012677388836329235,0.0035950804162724692,0.007568590350047304,0.0,0.0
2021-05-10,0.018565400843881856,0.008227848101265823,0.014135021097046414,0.0,0.0
2021-05-17,0.023238380809595203,0.019490254872563718,0.023238380809595203,0.0,0.0
2021-05-24,0.024478694469628286,0.03324267150196434,0.031429434874584466,0.0,0.0
2021-05-31,0.026384243775548124,0.043106651802303976,0.03939056112969157,0.0,0.0
2021-06-07,0.029321663019693654,0.05689277899343545,0.05514223194748359,0.0,0.0
2021-06-14,0.03136882129277566,0.0841254752851711,0.0817490494296578,0.0,0.0
2021-06-21,0.03591879229567933,0.11035918792295679,0.10723581467985424,0.0,0.0
2021-06-28,0.04627249357326478,0.12789203084832904,0.13239074550128535,0.0,0.0
2021-07-05,0.06678700361010831,0.14259927797833935,0.19223826714801445,0.0,0.0
2021-07-12,0.08194905869324474,0.17275747508305647,0.3078626799557032,0.0,0.0
2021-07-19,0.05851063829787234,0.23670212765957446,0.44060283687943264,0.0,0.0
2021-07-26,0.03169398907103825,0.273224043715847,0.5502732240437158,0.0,0.0
2021-08-02,0.019594594594594596,0.2814189189189189,0.614527027027027,0.0,0.0
2021-08-09,0.013445761166818596,0.29717411121239745,0.6355970829535096,0.0,0.0
2021-08-16,0.010931806350858927,0.323269130661114,0.6323095609925387,0.0,0.0
2021-08-23,0.010044977511244379,0.34902548725637184,0.6211394302848575,0.0,0.0
2021-08-30,0.00815613166326828,0.3693562481794349,0.6098164870375765,0.0,0.0
2021-09-06,0.006336131791541264,0.38317757009345793,0.6009821004276888,0.0,0.0
2021-09-13,0.005946671782083254,0.3857663533474007,0.6008056781124113,0.0,0.0
2021-09-20,0.006760019314340898,0.3676967648478996,0.6209560598744568,0.0,0.0
2021-09-27,0.005669546436285098,0.3291036717062635,0.6630669546436285,0.0,0.0
2021-10-04,0.003089598352214212,0.29016477857878475,0.7054582904222451,0.0,0.0
2021-10-11,0.00174433092449539,0.26364315973087465,0.7331173685522053,0.0,0.0
2021-10-18,0.0013290802764486975,0.24534821903242957,0.751993620414673,0.0,0.0
2021-10-25,0.0008698173383589446,0.22847202087561613,0.7692084662220934,0.0,0.0
2021-11-01,0.0006228589224540642,0.20211772033634381,0.796013702896294,0.0,0.0
2021-11-08,0.0003316749585406302,0.17346600331674958,0.8252072968490879,0.0,0.0
2021-11-15,0.0003477051460361613,0.15333796940194716,0.844923504867872,0.0006954102920723226,0.0
2021-11-22,0.0003176620076238882,0.14072426937738247,0.8526048284625158,0.005082592121982211,0.0
2021-11-29,0.0007682458386683739,0.1321382842509603,0.8409731113956466,0.024839948783610757,0.00025608194622279127
2021-12-06,0.0011233430689732643,0.12154572006290722,0.7951022242192766,0.08043136373848574,0.0006740058413839587
2021-12-13,0.0010703773080010704,0.10222103291410223,0.7016323253947017,0.19347069842119347,0.0002675943270002676
2021-12-20,0.0004506534474988734,0.07661108607480847,0.566020730058585,0.3551149166291122,0.0
2021-12-27,0.0,0.055793991416309016,0.434549356223176,0.5075107296137339,0.0
