week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.002777777777777778,0.0,
2021-06-28,0.0,0.0,0.007614213197969543,0.0,
2021-07-05,0.0,0.0,0.014423076923076924,0.0,
2021-07-12,0.0,0.0,0.02072538860103627,0.0,
2021-07-19,0.0,0.0030303030303030303,0.03939393939393939,0.0,
2021-07-26,0.0,0.006472491909385114,0.06472491909385113,0.0,
2021-08-02,0.0,0.008522727272727272,0.08238636363636363,0.0,
2021-08-09,0.0,0.016786570743405275,0.10551558752997602,0.0,
2021-08-16,0.0022371364653243847,0.026845637583892617,0.14093959731543623,0.0,
2021-08-23,0.004357298474945534,0.026143790849673203,0.21350762527233116,0.0,
2021-08-30,0.003937007874015748,0.01968503937007874,0.3169291338582677,0.0,
2021-09-06,0.0017391304347826088,0.01391304347826087,0.4504347826086956,0.0,
2021-09-13,0.001594896331738437,0.009569377990430622,0.6092503987240829,0.0,
2021-09-20,0.0,0.00847457627118644,0.7542372881355932,0.0,
2021-09-27,0.0012106537530266344,0.009685230024213076,0.8401937046004843,0.0,
2021-10-04,0.0011862396204033216,0.010676156583629894,0.8849347568208779,0.0,
2021-10-11,0.0013227513227513227,0.007936507936507936,0.917989417989418,0.0,
2021-10-18,0.0014792899408284023,0.005917159763313609,0.9467455621301775,0.0,
2021-10-25,0.0,0.004658385093167702,0.9658385093167702,0.0,
2021-11-01,0.0,0.003257328990228013,0.9755700325732899,0.0,
2021-11-08,0.0,0.001838235294117647,0.9779411764705882,0.0,
2021-11-15,0.0022727272727272726,0.0022727272727272726,0.9818181818181818,0.0,
2021-11-22,0.0029411764705882353,0.0,0.9823529411764705,0.0,
2021-11-29,0.0,0.0,0.9701492537313433,0.011194029850746268,
2021-12-06,0.0,0.0,0.9043824701195219,0.08764940239043825,
2021-12-13,0.0,0.0,0.7559322033898305,0.23728813559322035,
2021-12-20,0.0,0.003355704697986577,0.6241610738255033,0.3624161073825503,
2021-12-27,0.0,0.0,0.5359116022099447,0.4530386740331492,
