week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.007575757575757576,0.0,
2021-06-28,0.0,0.0,0.01282051282051282,0.0,
2021-07-05,0.0,0.0,0.022727272727272728,0.0,
2021-07-12,0.0,0.0032258064516129032,0.03870967741935484,0.0,
2021-07-19,0.0,0.004975124378109453,0.04975124378109453,0.0,
2021-07-26,0.002336448598130841,0.007009345794392523,0.06074766355140187,0.0,
2021-08-02,0.007246376811594203,0.012077294685990338,0.08695652173913043,0.0,
2021-08-09,0.009828009828009828,0.014742014742014743,0.1375921375921376,0.0,
2021-08-16,0.017543859649122806,0.015037593984962405,0.20551378446115287,0.0,
2021-08-23,0.02518891687657431,0.020151133501259445,0.27455919395465994,0.0,
2021-08-30,0.025495750708215296,0.028328611898016998,0.3286118980169972,0.0,
2021-09-06,0.030534351145038167,0.030534351145038167,0.3931297709923664,0.0,
2021-09-13,0.03139013452914798,0.026905829596412557,0.49327354260089684,0.0,
2021-09-20,0.025830258302583026,0.03690036900369004,0.5719557195571956,0.0,
2021-09-27,0.017191977077363897,0.04011461318051576,0.6446991404011462,0.0,
2021-10-04,0.017811704834605598,0.035623409669211195,0.7175572519083969,0.0,
2021-10-11,0.020618556701030927,0.028350515463917526,0.7835051546391752,0.0,
2021-10-18,0.022099447513812154,0.024861878453038673,0.8259668508287292,0.0,
2021-10-25,0.02932551319648094,0.020527859237536656,0.844574780058651,0.0,
2021-11-01,0.03197674418604651,0.020348837209302327,0.8604651162790697,0.0,
2021-11-08,0.03133903133903134,0.019943019943019943,0.8803418803418803,0.0,
2021-11-15,0.02564102564102564,0.016025641025641024,0.9038461538461539,0.0,
2021-11-22,0.02066115702479339,0.01652892561983471,0.9173553719008265,0.0,
2021-11-29,0.0223463687150838,0.01675977653631285,0.9273743016759777,0.0,
2021-12-06,0.014814814814814815,0.022222222222222223,0.9037037037037037,0.02962962962962963,
2021-12-13,0.008928571428571428,0.026785714285714284,0.7678571428571429,0.17857142857142858,
2021-12-20,0.0,0.02608695652173913,0.5130434782608696,0.43478260869565216,
2021-12-27,0.0,0.009433962264150943,0.29245283018867924,0.6698113207547169,
2022-01-03,0.0,0.0,0.14925373134328357,0.8208955223880597,
