week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.05,0.0,
2021-06-21,0.0,0.0,0.08333333333333333,0.0,
2021-06-28,0.0,0.0,0.13333333333333333,0.0,
2021-07-05,0.0,0.027777777777777776,0.16666666666666666,0.0,
2021-07-12,0.0,0.024390243902439025,0.24390243902439024,0.0,
2021-07-19,0.0,0.023255813953488372,0.37209302325581395,0.0,
2021-07-26,0.0,0.041666666666666664,0.4791666666666667,0.0,
2021-08-02,0.0,0.06896551724137931,0.5,0.0,
2021-08-09,0.0,0.07042253521126761,0.5070422535211268,0.0,
2021-08-16,0.0,0.07042253521126761,0.5774647887323944,0.0,
2021-08-23,0.0,0.0847457627118644,0.6610169491525424,0.0,
2021-08-30,0.0,0.06521739130434782,0.717391304347826,0.0,
2021-09-06,0.0,0.025,0.8,0.0,
2021-09-13,0.0,0.024390243902439025,0.8536585365853658,0.0,
2021-09-20,0.0,0.02631578947368421,0.8947368421052632,0.0,
2021-09-27,0.0,0.027777777777777776,0.9444444444444444,0.0,
2021-10-04,0.0,0.02127659574468085,0.9574468085106383,0.0,
2021-10-11,0.0,0.015873015873015872,0.9682539682539683,0.0,
2021-10-18,0.0,0.0136986301369863,0.9726027397260274,0.0,
2021-10-25,0.0,0.013157894736842105,0.9736842105263158,0.0,
2021-11-01,0.0,0.0,0.9873417721518988,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,1.0,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,0.9791666666666666,0.0,
2021-12-06,0.0,0.0,0.95,0.025,
2021-12-13,0.0,0.023809523809523808,0.7619047619047619,0.16666666666666666,
2021-12-20,0.0,0.020833333333333332,0.5833333333333334,0.3541666666666667,
2021-12-27,0.0,0.02564102564102564,0.4358974358974359,0.5128205128205128,
