week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0030959752321981426,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0035587188612099642,0.0,
2021-05-24,0.0,0.0,0.017937219730941704,0.0,
2021-05-31,0.0,0.0,0.07692307692307693,0.0,
2021-06-07,0.0,0.0,0.16352201257861634,0.0,
2021-06-14,0.0,0.0,0.2755905511811024,0.0,
2021-06-21,0.0,0.00980392156862745,0.46078431372549017,0.0,
2021-06-28,0.008620689655172414,0.034482758620689655,0.6810344827586207,0.0,
2021-07-05,0.0064516129032258064,0.03225806451612903,0.8,0.0,
2021-07-12,0.011049723756906077,0.03314917127071823,0.8397790055248618,0.0,
2021-07-19,0.005050505050505051,0.05555555555555555,0.8636363636363636,0.0,
2021-07-26,0.0,0.07555555555555556,0.88,0.0,
2021-08-02,0.0,0.08267716535433071,0.889763779527559,0.0,
2021-08-09,0.0,0.08620689655172414,0.8931034482758621,0.0,
2021-08-16,0.0,0.0830945558739255,0.9054441260744985,0.0,
2021-08-23,0.0024330900243309003,0.058394160583941604,0.9318734793187348,0.0,
2021-08-30,0.00437636761487965,0.03938730853391685,0.949671772428884,0.0,
2021-09-06,0.004434589800443459,0.03325942350332594,0.9578713968957872,0.0,
2021-09-13,0.0024630541871921183,0.029556650246305417,0.9630541871921182,0.0,
2021-09-20,0.0026954177897574125,0.029649595687331536,0.967654986522911,0.0,
2021-09-27,0.0,0.03409090909090909,0.9630681818181818,0.0,
2021-10-04,0.0,0.04819277108433735,0.9487951807228916,0.0,
2021-10-11,0.0,0.05521472392638037,0.941717791411043,0.0,
2021-10-18,0.0,0.05325443786982249,0.9408284023668639,0.0,
2021-10-25,0.0,0.05917159763313609,0.9378698224852071,0.0,
2021-11-01,0.0,0.06824925816023739,0.9287833827893175,0.0,
2021-11-08,0.0,0.07605633802816901,0.9211267605633803,0.0,
2021-11-15,0.0,0.07588075880758807,0.924119241192412,0.0,
2021-11-22,0.0,0.065,0.9325,0.0,
2021-11-29,0.0,0.053763440860215055,0.9440860215053763,0.002150537634408602,
2021-12-06,0.0,0.035523978685612786,0.9591474245115453,0.003552397868561279,
2021-12-13,0.0,0.022988505747126436,0.9688013136288999,0.0049261083743842365,
