week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0,0.0
2021-04-19,0.006172839506172839,0.0,0.0,0.0,0.0
2021-04-26,0.011428571428571429,0.0,0.002857142857142857,0.0,0.0
2021-05-03,0.011695906432748537,0.0,0.0029239766081871343,0.0,0.0
2021-05-10,0.020134228187919462,0.0,0.006711409395973154,0.0,0.0
2021-05-17,0.036,0.004,0.008,0.0,0.0
2021-05-24,0.07291666666666667,0.0,0.005208333333333333,0.0,0.0
2021-05-31,0.11320754716981132,0.0,0.012578616352201259,0.0,0.0
2021-06-07,0.11377245508982035,0.005988023952095809,0.011976047904191617,0.0,0.0
2021-06-14,0.07407407407407407,0.037037037037037035,0.024691358024691357,0.0,0.0
2021-06-21,0.03597122302158273,0.17266187050359713,0.05755395683453238,0.0,0.0
2021-06-28,0.0196078431372549,0.42483660130718953,0.11764705882352941,0.0,0.0
2021-07-05,0.009569377990430622,0.5741626794258373,0.19138755980861244,0.0,0.0
2021-07-12,0.011538461538461539,0.6269230769230769,0.2653846153846154,0.0,0.0
2021-07-19,0.014814814814814815,0.6074074074074074,0.34074074074074073,0.0,0.0
2021-07-26,0.019762845849802372,0.5335968379446641,0.42292490118577075,0.0,0.0
2021-08-02,0.02564102564102564,0.46153846153846156,0.4945054945054945,0.0,0.0
2021-08-09,0.025423728813559324,0.4180790960451977,0.5423728813559322,0.0,0.0
2021-08-16,0.01699029126213592,0.38349514563106796,0.5898058252427184,0.0,0.0
2021-08-23,0.010178117048346057,0.3155216284987277,0.6666666666666666,0.0,0.0
2021-08-30,0.0049261083743842365,0.22660098522167488,0.7635467980295566,0.0,0.0
2021-09-06,0.005905511811023622,0.16338582677165353,0.8267716535433071,0.0,0.0
2021-09-13,0.011308562197092083,0.12277867528271405,0.8610662358642972,0.0,0.0
2021-09-20,0.018018018018018018,0.0960960960960961,0.8843843843843844,0.0,0.0
2021-09-27,0.018922852983988356,0.07132459970887918,0.9068413391557496,0.0,0.0
2021-10-04,0.013280212483399735,0.05179282868525897,0.9335989375830013,0.0,0.0
2021-10-11,0.008264462809917356,0.03659976387249114,0.9527744982290437,0.0,0.0
2021-10-18,0.0042417815482502655,0.02545068928950159,0.968186638388123,0.0,0.0
2021-10-25,0.003015075376884422,0.017085427135678392,0.9778894472361809,0.0,0.0
2021-11-01,0.0010559662090813093,0.012671594508975714,0.9820485744456178,0.0,0.0
2021-11-08,0.0,0.010882708585247884,0.9854897218863361,0.0,0.0
2021-11-15,0.0,0.006858710562414266,0.9890260631001372,0.0,0.0
2021-11-22,0.0,0.005069708491761723,0.9923954372623575,0.0012674271229404308,0.0
2021-11-29,0.0,0.0055309734513274336,0.9900442477876106,0.0022123893805309734,0.0
2021-12-06,0.0,0.005543237250554324,0.9855875831485588,0.0066518847006651885,0.0
2021-12-13,0.0,0.0053475935828877,0.9679144385026738,0.022727272727272728,0.0
2021-12-20,0.0,0.005703422053231939,0.9068441064638784,0.08365019011406843,0.0
2021-12-27,0.0,0.005698005698005698,0.7606837606837606,0.21937321937321938,0.0
2022-01-03,0.0,0.0044444444444444444,0.6,0.37777777777777777,0.0
