week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.00028392958546280523,0.0,0.0,0.0,0.0
2021-04-12,0.0002841716396703609,0.0,0.0002841716396703609,0.0,0.0
2021-04-19,0.0005546311702717693,0.0,0.0008319467554076539,0.0,0.0
2021-04-26,0.00105318588730911,0.0,0.001579778830963665,0.0,0.0
2021-05-03,0.0014326647564469914,0.0002387774594078319,0.0016714422158548234,0.0,0.0
2021-05-10,0.0015135135135135136,0.00043243243243243243,0.0017297297297297297,0.0,0.0
2021-05-17,0.0014568158168574402,0.0004162330905306972,0.0018730489073881373,0.0,0.0
2021-05-24,0.0012687671812222456,0.00042292239374074856,0.002114611968703743,0.0,0.0
2021-05-31,0.0009140767824497258,0.00022851919561243144,0.003656307129798903,0.0,0.0
2021-06-07,0.0014208581983518045,0.0008525149190110827,0.008809320829781187,0.0,0.0
2021-06-14,0.0025651988029072254,0.0025651988029072254,0.02864471996579735,0.0,0.0
2021-06-21,0.0059445178335535,0.009247027741083224,0.13210039630118892,0.0,0.0
2021-06-28,0.01547779273216689,0.02220726783310902,0.4165545087483176,0.0,0.0
2021-07-05,0.03046594982078853,0.041666666666666664,0.6545698924731183,0.0,0.0
2021-07-12,0.03862539051405851,0.07185458676512355,0.7605793808577109,0.0,0.0
2021-07-19,0.0343085666175542,0.09955798779204378,0.8019364344348558,0.0,0.0
2021-07-26,0.02706333973128599,0.11305182341650671,0.8262955854126679,0.0,0.0
2021-08-02,0.022612595776490375,0.10783031209119791,0.8531115679312278,0.0,0.0
2021-08-09,0.019650655021834062,0.09606986899563319,0.8759097525473072,0.0,0.0
2021-08-16,0.01637574230700018,0.08349829044448444,0.8952672305200647,0.0,0.0
2021-08-23,0.013632119514472456,0.07301587301587302,0.9109243697478991,0.0,0.0
2021-08-30,0.012025316455696202,0.06772151898734177,0.9189873417721519,0.0,0.0
2021-09-06,0.01173646305681515,0.06375033342224594,0.9237129901307015,0.0,0.0
2021-09-13,0.012048192771084338,0.05634301913536499,0.930545712260808,0.0,0.0
2021-09-20,0.010766580534022395,0.04909560723514212,0.9388458225667528,0.0,0.0
2021-09-27,0.005939753924480272,0.04369961815867628,0.9499363597793806,0.0,0.0
2021-10-04,0.0017857142857142857,0.035,0.9628571428571429,0.0,0.0
2021-10-11,0.0005571030640668524,0.02562674094707521,0.9732590529247911,0.0,0.0
2021-10-18,0.0004060089321965083,0.020300446609825416,0.9790905399918798,0.0,0.0
2021-10-25,0.0001478633742422002,0.02129232589087683,0.9784119473606387,0.0,0.0
2021-11-01,0.00011598237067965669,0.02447228021340756,0.9751797726745535,0.0,0.0
2021-11-08,0.0,0.023989033584647018,0.975815137569764,0.0,0.0
2021-11-15,0.0,0.020404510470735635,0.9793270091283336,8.949346697691069e-05,0.0
2021-11-22,0.0,0.016998827667057445,0.9809077206498074,0.001925975548484341,0.0
2021-11-29,0.0,0.014229012206994683,0.9738635512618887,0.0116078783793904,7.488953793155097e-05
2021-12-06,7.032348804500703e-05,0.01258790436005626,0.9438818565400844,0.04240506329113924,0.0007735583684950774
2021-12-13,0.00016524828554903743,0.011402131702883582,0.859043212426671,0.12352309344790548,0.005535817565892754
2021-12-20,0.00023716352424997035,0.008419305110873947,0.6532669275465434,0.30712676390371163,0.030475512866121192
2021-12-27,0.0,0.00411962160512664,0.3352151357949344,0.5590479096734818,0.10100701861458651
2022-01-03,0.0,0.0017602534765006161,0.148565393416652,0.6843865516634395,0.16475972540045766
