week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.011764705882352941,0.0,
2021-06-28,0.0,0.0,0.038834951456310676,0.0,
2021-07-05,0.0,0.0,0.05263157894736842,0.0,
2021-07-12,0.0,0.0,0.08095238095238096,0.0,
2021-07-19,0.004016064257028112,0.0,0.12449799196787148,0.0,
2021-07-26,0.0,0.0,0.1810344827586207,0.0,
2021-08-02,0.0,0.0,0.24242424242424243,0.0,
2021-08-09,0.0,0.0,0.26666666666666666,0.0,
2021-08-16,0.009433962264150943,0.0,0.33962264150943394,0.0,
2021-08-23,0.013333333333333334,0.0,0.44666666666666666,0.0,
2021-08-30,0.01875,0.0,0.525,0.0,
2021-09-06,0.0078125,0.0,0.59375,0.0,
2021-09-13,0.0,0.010309278350515464,0.6597938144329897,0.0,
2021-09-20,0.0,0.010869565217391304,0.7717391304347826,0.0,
2021-09-27,0.0,0.01020408163265306,0.8469387755102041,0.0,
2021-10-04,0.0,0.011111111111111112,0.8666666666666667,0.0,
2021-10-11,0.0,0.0,0.875,0.0,
2021-10-18,0.0,0.0,0.8947368421052632,0.0,
2021-10-25,0.0,0.0,0.9,0.0,
2021-11-01,0.0,0.0,0.875,0.0,
2021-11-08,0.0,0.0,0.9117647058823529,0.0,
2021-11-15,0.0,0.0,0.9117647058823529,0.0,
2021-11-22,0.0,0.0,0.92,0.0,
2021-11-29,0.0,0.0,0.9423076923076923,0.0,
2021-12-06,0.0,0.0,0.9047619047619048,0.047619047619047616,
2021-12-13,0.0,0.0,0.7916666666666666,0.16666666666666666,
2021-12-20,0.0,0.0,0.5918367346938775,0.3877551020408163,
2021-12-27,0.0,0.0,0.4358974358974359,0.5384615384615384,
