week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.0,0.0,,
2021-04-12,0.0,0.0,0.0,,
2021-04-19,0.0,0.0,0.0,,
2021-04-26,0.0,0.0,0.0,,
2021-05-03,0.0,0.0,0.0,,
2021-05-10,0.0,0.0,0.0,,
2021-05-17,0.0,0.0,0.0,,
2021-05-24,0.0,0.0,0.0,,
2021-05-31,0.0,0.0,0.0,,
2021-06-07,0.0,0.0,0.0,,
2021-06-14,0.0,0.0,0.019230769230769232,,
2021-06-21,0.0,0.0,0.10526315789473684,,
2021-06-28,0.0,0.0,0.53125,,
2021-07-05,0.0,0.0,0.8775510204081632,,
2021-07-12,0.0,0.0,0.92,,
2021-07-19,0.0,0.0,0.9345794392523364,,
2021-07-26,0.0,0.013422818791946308,0.959731543624161,,
2021-08-02,0.0,0.02857142857142857,0.9542857142857143,,
2021-08-09,0.005555555555555556,0.05555555555555555,0.9333333333333333,,
2021-08-16,0.005494505494505495,0.07142857142857142,0.9120879120879121,,
2021-08-23,0.00546448087431694,0.07103825136612021,0.9180327868852459,,
2021-08-30,0.005494505494505495,0.06593406593406594,0.9285714285714286,,
2021-09-06,0.0,0.06593406593406594,0.9285714285714286,,
2021-09-13,0.0,0.06741573033707865,0.9269662921348315,,
2021-09-20,0.0,0.08045977011494253,0.9137931034482759,,
2021-09-27,0.0,0.09302325581395349,0.9069767441860465,,
2021-10-04,0.0,0.08875739644970414,0.9053254437869822,,
2021-10-11,0.0,0.09090909090909091,0.9090909090909091,,
2021-10-18,0.0,0.08284023668639054,0.9171597633136095,,
2021-10-25,0.0,0.06395348837209303,0.936046511627907,,
2021-11-01,0.0,0.049689440993788817,0.9503105590062112,,
2021-11-08,0.0,0.0457516339869281,0.9477124183006536,,
2021-11-15,0.0,0.04516129032258064,0.9548387096774194,,
2021-11-22,0.0,0.036585365853658534,0.9573170731707317,,
2021-11-29,0.0,0.03592814371257485,0.9640718562874252,,
2021-12-06,0.0,0.030120481927710843,0.9698795180722891,,
2021-12-13,0.0,0.02142857142857143,0.9714285714285714,,
