week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.002967359050445104,0.0,0.002967359050445104,0.0,
2021-04-26,0.006711409395973154,0.0,0.013422818791946308,0.0,
2021-05-03,0.010714285714285714,0.0,0.04285714285714286,0.0,
2021-05-10,0.01048951048951049,0.0,0.08741258741258741,0.0,
2021-05-17,0.006920415224913495,0.0,0.1453287197231834,0.0,
2021-05-24,0.007352941176470588,0.0,0.19852941176470587,0.0,
2021-05-31,0.012875536480686695,0.0,0.24892703862660945,0.0,
2021-06-07,0.016129032258064516,0.0,0.3064516129032258,0.0,
2021-06-14,0.011111111111111112,0.005555555555555556,0.4666666666666667,0.0,
2021-06-21,0.011235955056179775,0.0149812734082397,0.7153558052434457,0.0,
2021-06-28,0.015665796344647518,0.020887728459530026,0.8433420365535248,0.0,
2021-07-05,0.01839080459770115,0.029885057471264367,0.8896551724137931,0.0,
2021-07-12,0.017543859649122806,0.04093567251461988,0.9103313840155945,0.0,
2021-07-19,0.013740458015267175,0.04732824427480916,0.9221374045801527,0.0,
2021-07-26,0.011450381679389313,0.044529262086514,0.9300254452926209,0.0,
2021-08-02,0.009779951100244499,0.042787286063569685,0.9339853300733496,0.0,
2021-08-09,0.006993006993006993,0.033566433566433566,0.9482517482517483,0.0,
2021-08-16,0.005154639175257732,0.024054982817869417,0.9639175257731959,0.0,
2021-08-23,0.00199203187250996,0.021912350597609563,0.9701195219123506,0.0,
2021-08-30,0.002150537634408602,0.021505376344086023,0.9720430107526882,0.0,
2021-09-06,0.0045871559633027525,0.01834862385321101,0.9747706422018348,0.0,
2021-09-13,0.0049382716049382715,0.014814814814814815,0.980246913580247,0.0,
2021-09-20,0.002403846153846154,0.014423076923076924,0.9783653846153846,0.0,
2021-09-27,0.0022026431718061676,0.022026431718061675,0.9713656387665198,0.0,
2021-10-04,0.0,0.027600849256900213,0.970276008492569,0.0,
2021-10-11,0.0,0.019867549668874173,0.9757174392935982,0.0,
2021-10-18,0.0,0.00966183574879227,0.9879227053140096,0.0,
2021-10-25,0.0,0.005509641873278237,0.9917355371900827,0.0,
2021-11-01,0.0,0.003401360544217687,0.9965986394557823,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,0.99375,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,0.9512195121951219,0.024390243902439025,
2021-12-06,0.0,0.0,0.90625,0.078125,
2021-12-13,0.0,0.0,0.8571428571428571,0.13333333333333333,
