week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.00038774718883288094,0.0,0.0,0.0,0.0
2021-04-19,0.0016051364365971107,0.0,0.0004012841091492777,0.0,0.0
2021-04-26,0.0034662045060658577,0.0008665511265164644,0.002166377816291161,0.0,0.0
2021-05-03,0.00533462657613967,0.0019398642095053346,0.004849660523763337,0.0,0.0
2021-05-10,0.005036373810856184,0.003357582540570789,0.007274762171236709,0.0,0.0
2021-05-17,0.0036363636363636364,0.007272727272727273,0.00787878787878788,0.0,0.0
2021-05-24,0.0038412291933418692,0.013444302176696543,0.008962868117797696,0.0,0.0
2021-05-31,0.008867667121418827,0.018417462482946793,0.01432469304229195,0.0,0.0
2021-06-07,0.021496815286624203,0.028662420382165606,0.03184713375796178,0.0,0.0
2021-06-14,0.03463992707383774,0.049225159525979945,0.07201458523245215,0.0,0.0
2021-06-21,0.045368620037807186,0.08223062381852551,0.1720226843100189,0.0,0.0
2021-06-28,0.05275056518462698,0.09947249434815374,0.3285606631499623,0.0,0.0
2021-07-05,0.05103587670540677,0.08489135927235977,0.5108640727640222,0.0,0.0
2021-07-12,0.04353120243531203,0.07092846270928463,0.6751902587519026,0.0,0.0
2021-07-19,0.037640667442762905,0.06732634846720993,0.7727978269305393,0.0,0.0
2021-07-26,0.034262948207171316,0.06549800796812749,0.8235856573705179,0.0,0.0
2021-08-02,0.03538892782060266,0.06166783461807989,0.8479327259985985,0.0,0.0
2021-08-09,0.04547386315342117,0.057586060348491286,0.8535911602209945,0.0,0.0
2021-08-16,0.0508551881413911,0.056100342075256555,0.8629418472063854,0.0,0.0
2021-08-23,0.04544416533455127,0.05686229732815711,0.8798812514272665,0.0,0.0
2021-08-30,0.04075235109717868,0.057149746804919216,0.89100554617796,0.0,0.0
2021-09-06,0.03861442362294151,0.05479840999432141,0.8980692788188529,0.0,0.0
2021-09-13,0.033659066232356136,0.05066956207021354,0.9091567137169743,0.0,0.0
2021-09-20,0.02459016393442623,0.04735883424408015,0.9230418943533698,0.0,0.0
2021-09-27,0.017158176943699734,0.04718498659517426,0.9319034852546917,0.0,0.0
2021-10-04,0.011668611435239206,0.045507584597432905,0.9393232205367561,0.0,0.0
2021-10-11,0.006615214994487321,0.044101433296582136,0.9454244762954797,0.0,0.0
2021-10-18,0.003296250515039143,0.04326328800988875,0.9489081170168933,0.0,0.0
2021-10-25,0.002068252326783868,0.039038262668045505,0.954756980351603,0.0,0.0
2021-11-01,0.0014942099364960778,0.03567426223384385,0.9590960029884199,0.0,0.0
2021-11-08,0.0010877447425670776,0.03335750543872371,0.9615663524292966,0.0,0.0
2021-11-15,0.0008111944838775097,0.03183938349219225,0.9624822551206652,0.00020279862096937742,0.0
2021-11-22,0.000643915003219575,0.03219575016097875,0.9583601631251342,0.0017171066752522,0.0
2021-11-29,0.00041109969167523125,0.03247687564234327,0.947584789311408,0.008221993833504625,0.0
2021-12-06,0.00019043991620643687,0.03199390592268139,0.9261093125119025,0.028756427347171966,0.0
2021-12-13,0.0,0.03024390243902439,0.8743414634146341,0.08351219512195122,0.0
2021-12-20,0.0,0.02478952291861553,0.7691768007483629,0.1969130028063611,0.0
2021-12-27,0.0,0.017414601473543203,0.6175485599464167,0.3583389149363697,0.0
2022-01-03,0.0,0.011278195488721804,0.46115288220551376,0.5225563909774437,0.0
