week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.00023866348448687351,0.00011933174224343676,0.00011933174224343676,0.0,0.0
2021-04-12,0.0006608657341116863,0.00022028857803722878,0.00033043286705584316,0.0,0.0
2021-04-19,0.0014145700717389108,0.0007072850358694554,0.0008083257552793776,0.0,0.0
2021-04-26,0.0027149321266968325,0.00130718954248366,0.001608848667672197,0.0,0.0
2021-05-03,0.00429000429000429,0.0022522522522522522,0.0032175032175032173,0.0,0.0
2021-05-10,0.005994485073732166,0.00395636014866323,0.005514926267833593,0.0,0.0
2021-05-17,0.007390233299521809,0.006375887552528619,0.00869439211708448,0.0,0.0
2021-05-24,0.008354522339266255,0.009625862695241554,0.015256084271703597,0.0,0.0
2021-05-31,0.010829493087557604,0.013133640552995391,0.03064516129032258,0.0,0.0
2021-06-07,0.016523867809057527,0.018665850673194616,0.06548347613219094,0.0,0.0
2021-06-14,0.02672889266016122,0.029698769622401356,0.13958421722528638,0.0,0.0
2021-06-21,0.04028436018957346,0.04383886255924171,0.26954976303317535,0.0,0.0
2021-06-28,0.05373134328358209,0.055970149253731345,0.4388059701492537,0.0,0.0
2021-07-05,0.055597867479055596,0.07311500380807312,0.5932977913175933,0.0,0.0
2021-07-12,0.042791310072416065,0.10796576695194207,0.6978275181040158,0.0,0.0
2021-07-19,0.029561671763506627,0.14067278287461774,0.7543323139653415,0.0,0.0
2021-07-26,0.023487261146496817,0.15047770700636942,0.7874203821656051,0.0,0.0
2021-08-02,0.02133245815556285,0.13915326550705612,0.817197243190023,0.0,0.0
2021-08-09,0.01835554438018607,0.11918531556449585,0.8496354035705306,0.0,0.0
2021-08-16,0.014645472405786748,0.10091087694231113,0.8771209144490087,0.0,0.0
2021-08-23,0.011632571199358203,0.08664259927797834,0.8970450594999332,0.0,0.0
2021-08-30,0.008928571428571428,0.07689732142857143,0.9108258928571429,0.0,0.0
2021-09-06,0.006427915518824609,0.07233955718804204,0.9186817671666156,0.0,0.0
2021-09-13,0.004822182037371911,0.0704239501707856,0.9230460116536066,0.0,0.0
2021-09-20,0.004169339320076972,0.06831302116741501,0.9262347658755613,0.0,0.0
2021-09-27,0.003928103797167004,0.06523032972265207,0.9295321985477919,0.0,0.0
2021-10-04,0.003765971755211836,0.06065904505716207,0.9344989912575655,0.0,0.0
2021-10-11,0.004299481097108969,0.055448480355819126,0.9393624907338769,0.0,0.0
2021-10-18,0.006406436233611442,0.051400476758045294,0.941746126340882,0.0,0.0
2021-10-25,0.007919169852539596,0.04819770617149099,0.9434735117422174,0.0,0.0
2021-11-01,0.00831129580657348,0.044578768417075934,0.9468580783276666,0.0,0.0
2021-11-08,0.008057090239410682,0.038904235727440145,0.9526933701657458,0.0,0.0
2021-11-15,0.007181146960655406,0.032568018610296345,0.959340548194599,0.0003034287448164256,0.0
2021-11-22,0.006338283230713509,0.02761680550525172,0.9636001448750453,0.001901484969214053,0.0
2021-11-29,0.005379609544468546,0.02368763557483731,0.9624295010845987,0.007635574837310195,0.0
2021-12-06,0.004704652378463147,0.020909566126502875,0.9512110123714933,0.02195504443282802,0.0
2021-12-13,0.004069928776246416,0.018222181111830542,0.9229488483951531,0.053094070853760056,0.0
2021-12-20,0.0035742209315313303,0.016195688596001342,0.8731151569306378,0.10510443426784317,0.00011169440411035407
2021-12-27,0.0032428742106161462,0.015190305512886158,0.8161802355350742,0.16248506571087215,0.0003413551800648575
2022-01-03,0.00267379679144385,0.014514896867838044,0.7700534759358288,0.20817417876241406,0.0007639419404125286
