week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.022727272727272728,0.022727272727272728,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.029411764705882353,0.0,
2021-05-24,0.0,0.0,0.05263157894736842,0.0,
2021-05-31,0.0,0.02564102564102564,0.05128205128205128,0.0,
2021-06-07,0.0,0.027777777777777776,0.1111111111111111,0.0,
2021-06-14,0.0,0.027777777777777776,0.3888888888888889,0.0,
2021-06-21,0.023255813953488372,0.023255813953488372,0.6046511627906976,0.0,
2021-06-28,0.061224489795918366,0.061224489795918366,0.6326530612244898,0.0,
2021-07-05,0.04838709677419355,0.06451612903225806,0.6935483870967742,0.0,
2021-07-12,0.024390243902439025,0.06097560975609756,0.7804878048780488,0.0,
2021-07-19,0.023529411764705882,0.047058823529411764,0.8470588235294118,0.0,
2021-07-26,0.04,0.05333333333333334,0.84,0.0,
2021-08-02,0.078125,0.078125,0.78125,0.0,
2021-08-09,0.11290322580645161,0.08064516129032258,0.7580645161290323,0.0,
2021-08-16,0.10344827586206896,0.05172413793103448,0.8103448275862069,0.0,
2021-08-23,0.075,0.025,0.85,0.0,
2021-08-30,0.045454545454545456,0.0,0.9090909090909091,0.0,
2021-09-06,0.038461538461538464,0.038461538461538464,0.8846153846153846,0.0,
2021-09-13,0.04081632653061224,0.04081632653061224,0.8775510204081632,0.0,
2021-09-20,0.03278688524590164,0.04918032786885246,0.8852459016393442,0.0,
2021-09-27,0.02040816326530612,0.02040816326530612,0.8571428571428571,0.0,
2021-10-04,0.02631578947368421,0.0,0.8421052631578947,0.0,
2021-10-11,0.025,0.025,0.8,0.0,
2021-10-18,0.025,0.025,0.75,0.0,
2021-10-25,0.0,0.029411764705882353,0.7941176470588235,0.0,
2021-11-01,0.0,0.0,0.8461538461538461,0.0,
2021-11-08,0.0,0.0,0.7894736842105263,0.05263157894736842,
2021-11-15,0.0,0.058823529411764705,0.5882352941176471,0.23529411764705882,
2021-11-22,0.0,0.08,0.28,0.52,
2021-11-29,0.0,0.058823529411764705,0.20588235294117646,0.6764705882352942,
2021-12-06,0.0,0.0,0.18518518518518517,0.7407407407407407,
2021-12-13,0.0,0.0,0.13333333333333333,0.8,
