week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0037735849056603774,0.0,0.0,0.0,
2021-05-03,0.004942339373970346,0.0,0.0,0.0,
2021-05-10,0.003284072249589491,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.011111111111111112,0.0,
2021-06-21,0.0,0.0,0.03076923076923077,0.0,
2021-06-28,0.0,0.1111111111111111,0.1111111111111111,0.0,
2021-07-05,0.012345679012345678,0.30864197530864196,0.18518518518518517,0.0,
2021-07-12,0.00823045267489712,0.3868312757201646,0.29218106995884774,0.0,
2021-07-19,0.006172839506172839,0.42592592592592593,0.345679012345679,0.0,
2021-07-26,0.005154639175257732,0.4639175257731959,0.4484536082474227,0.0,
2021-08-02,0.0058823529411764705,0.4294117647058823,0.5,0.0,
2021-08-09,0.0,0.35714285714285715,0.5793650793650794,0.0,
2021-08-16,0.0,0.30303030303030304,0.6464646464646465,0.0,
2021-08-23,0.0,0.2777777777777778,0.6898148148148148,0.0,
2021-08-30,0.0,0.2564102564102564,0.7264957264957265,0.0,
2021-09-06,0.0,0.25793650793650796,0.7380952380952381,0.0,
2021-09-13,0.0031545741324921135,0.24921135646687698,0.7444794952681388,0.0,
2021-09-20,0.007434944237918215,0.23048327137546468,0.7620817843866171,0.0,
2021-09-27,0.005208333333333333,0.21354166666666666,0.7708333333333334,0.0,
2021-10-04,0.0,0.19642857142857142,0.7946428571428571,0.0,
2021-10-11,0.0,0.17777777777777778,0.8,0.0,
2021-10-18,0.0,0.09523809523809523,0.8571428571428571,0.0,
2021-10-25,0.0,0.05357142857142857,0.9285714285714286,0.0,
2021-11-01,0.013793103448275862,0.04827586206896552,0.9310344827586207,0.0,
2021-11-08,0.016666666666666666,0.04583333333333333,0.9333333333333333,0.0,
2021-11-15,0.010273972602739725,0.0410958904109589,0.9417808219178082,0.0,
2021-11-22,0.003194888178913738,0.038338658146964855,0.9552715654952076,0.0,
2021-11-29,0.0,0.03611111111111111,0.9611111111111111,0.0,
2021-12-06,0.0,0.03655352480417755,0.95822454308094,0.0,
2021-12-13,0.0,0.043137254901960784,0.9490196078431372,0.00392156862745098,
2021-12-20,0.0,0.056074766355140186,0.9252336448598131,0.009345794392523364,
2021-12-27,0.0,0.06060606060606061,0.8787878787878788,0.030303030303030304,
