week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.03333333333333333,0.0,0.0,0.0,0.0
2021-04-12,0.058823529411764705,0.0,0.0,0.0,0.0
2021-04-19,0.12903225806451613,0.03225806451612903,0.0,0.0,0.0
2021-04-26,0.17391304347826086,0.13043478260869565,0.0,0.0,0.0
2021-05-03,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.0,0.0
2021-05-10,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.0,0.0
2021-05-17,0.0,0.125,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.25,0.0,0.0
2021-06-07,0.0,0.0,0.4166666666666667,0.0,0.0
2021-06-14,0.0,0.0,0.6428571428571429,0.0,0.0
2021-06-21,0.0,0.05263157894736842,0.8947368421052632,0.0,0.0
2021-06-28,0.0,0.07692307692307693,0.8846153846153846,0.0,0.0
2021-07-05,0.0,0.13043478260869565,0.8260869565217391,0.0,0.0
2021-07-12,0.0,0.15384615384615385,0.7692307692307693,0.0,0.0
2021-07-19,0.0,0.125,0.75,0.0,0.0
2021-07-26,0.0,0.0,0.875,0.0,0.0
2021-08-02,0.0,0.0,0.8,0.0,0.0
2021-08-09,0.0,0.0,0.75,0.0,0.0
2021-08-16,0.0,0.15384615384615385,0.7692307692307693,0.0,0.0
2021-08-23,0.0,0.29411764705882354,0.5882352941176471,0.0,0.0
2021-08-30,0.047619047619047616,0.42857142857142855,0.47619047619047616,0.0,0.0
2021-09-06,0.045454545454545456,0.45454545454545453,0.45454545454545453,0.0,0.0
2021-09-13,0.0,0.42105263157894735,0.5263157894736842,0.0,0.0
2021-09-20,0.0,0.3076923076923077,0.6153846153846154,0.0,0.0
2021-09-27,0.0,0.18181818181818182,0.7272727272727273,0.0,0.0
2021-10-04,0.0,0.08333333333333333,0.75,0.0,0.0
2021-10-11,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0
2021-10-18,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0
2021-10-25,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.0,0.0
2021-11-01,0.0,0.07692307692307693,0.7692307692307693,0.0,0.0
2021-11-08,0.0,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.0
2021-11-15,0.0,0.0,0.7857142857142857,0.14285714285714285,0.0
2021-11-22,0.0,0.0,0.6875,0.25,0.0
2021-11-29,0.0,0.0,0.7647058823529411,0.17647058823529413,0.0
2021-12-06,0.0,0.0,0.6875,0.1875,0.0
2021-12-13,0.0,0.0,0.5,0.375,0.0
2021-12-20,0.0,0.0,0.3157894736842105,0.5789473684210527,0.0
2021-12-27,0.0,0.0,0.17647058823529413,0.7647058823529411,0.0
2022-01-03,0.0,0.0,0.0,0.75,0.16666666666666666
