week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-07-20,0.0,0.0,0.0,,
2020-07-27,0.0,0.0,0.0,,
2020-08-03,0.0,0.0,0.0,,
2020-08-10,0.0,0.0,0.0,,
2020-08-17,0.0,0.0,0.0,,
2020-08-24,0.0,0.0,0.0,,
2020-08-31,0.0,0.0,0.0,,
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.0,0.0,,
2021-04-12,0.0,0.0,0.0,,
2021-04-19,0.0,0.0,0.0,,
2021-04-26,0.0,0.0,0.0,,
2021-05-03,0.0,0.0,0.0,,
2021-05-10,0.0,0.0,0.0,,
2021-05-17,0.0,0.0,0.0,,
2021-05-24,0.0,0.0,0.0,,
2021-05-31,0.0,0.0,0.043478260869565216,,
2021-06-07,0.0,0.0,0.043478260869565216,,
2021-06-14,0.0,0.0,0.10526315789473684,,
2021-06-21,0.058823529411764705,0.058823529411764705,0.17647058823529413,,
2021-06-28,0.1111111111111111,0.1111111111111111,0.2777777777777778,,
2021-07-05,0.12,0.16,0.48,,
2021-07-12,0.043478260869565216,0.30434782608695654,0.5797101449275363,,
2021-07-19,0.014218009478672985,0.4028436018957346,0.5639810426540285,,
2021-07-26,0.013636363636363636,0.4659090909090909,0.5113636363636364,,
2021-08-02,0.017543859649122806,0.529505582137161,0.4481658692185008,,
2021-08-09,0.019858156028368795,0.5673758865248227,0.4099290780141844,,
2021-08-16,0.019490254872563718,0.5547226386806596,0.424287856071964,,
2021-08-23,0.01858736059479554,0.4944237918215613,0.483271375464684,,
2021-08-30,0.014792899408284023,0.4319526627218935,0.5473372781065089,,
