week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.005988023952095809,0.0,0.0,0.0,0.0
2020-11-02,0.017543859649122806,0.0,0.0,0.0,0.0
2020-11-09,0.034482758620689655,0.0,0.005747126436781609,0.0,0.0
2020-11-16,0.03333333333333333,0.0,0.005555555555555556,0.0,0.0
2020-11-23,0.023346303501945526,0.0,0.0038910505836575876,0.0,0.0
2020-11-30,0.016241299303944315,0.0,0.002320185614849188,0.0,0.0
2020-12-07,0.011804384485666104,0.0,0.0,0.0,0.0
2020-12-14,0.00851063829787234,0.0,0.0,0.0,0.0
2020-12-21,0.0038809831824062097,0.0,0.0,0.0,0.0
2020-12-28,0.004137931034482759,0.0,0.002758620689655172,0.0,0.0
2021-01-04,0.008130081300813009,0.0016260162601626016,0.014634146341463415,0.0,0.0
2021-01-11,0.01060070671378092,0.0035335689045936395,0.030035335689045935,0.0,0.0
2021-01-18,0.01060070671378092,0.0017667844522968198,0.024734982332155476,0.0,0.0
2021-01-25,0.010452961672473868,0.0,0.017421602787456445,0.0,0.0
2021-02-01,0.01288244766505636,0.001610305958132045,0.02254428341384863,0.0,0.0
2021-02-08,0.013679890560875513,0.0027359781121751026,0.04240766073871409,0.0,0.0
2021-02-15,0.010804321728691477,0.003601440576230492,0.04801920768307323,0.0,0.0
2021-02-22,0.010277492291880781,0.0020554984583761563,0.02672147995889003,0.0,0.0
2021-03-01,0.017094017094017096,0.002564102564102564,0.013675213675213675,0.0,0.0
2021-03-08,0.029965156794425088,0.0062717770034843206,0.012543554006968641,0.0,0.0
2021-03-15,0.04742625795257374,0.010410641989589358,0.013880855986119144,0.0,0.0
2021-03-22,0.08072653884964683,0.017154389505549948,0.019677093844601413,0.0,0.0
2021-03-29,0.14560559685177088,0.030170529077393964,0.034105815478793176,0.0,0.0
2021-04-05,0.23618090452261306,0.051328068916008614,0.06281407035175879,0.0,0.0
2021-04-12,0.3140643623361144,0.07300357568533969,0.1030989272943981,0.0,0.0
2021-04-19,0.36990424076607387,0.09220246238030096,0.14746922024623804,0.0,0.0
2021-04-26,0.4126442812172088,0.10965372507869885,0.19018887722980063,0.0,0.0
2021-05-03,0.4421838784445017,0.12155549832603657,0.22946175637393768,0.0,0.0
2021-05-10,0.4485642598271536,0.13325899080011153,0.2765542235851687,0.0,0.0
2021-05-17,0.4369021906818883,0.14193150262264734,0.326133909287257,0.0,0.0
2021-05-24,0.41475913905022205,0.14519986334130508,0.3635121284591732,0.0,0.0
2021-05-31,0.3861034346624556,0.1421239636794315,0.401500197394394,0.0,0.0
2021-06-07,0.35876840696117807,0.13253012048192772,0.44890673806336456,0.0,0.0
2021-06-14,0.33219010289073986,0.1268985791278785,0.4928956393924547,0.0,0.0
2021-06-21,0.30568596765779865,0.12728221178925403,0.5258215962441315,0.0,0.0
2021-06-28,0.27980402830702233,0.12520413718018508,0.5541643984757757,0.0,0.0
2021-07-05,0.25242165242165243,0.11965811965811966,0.5794871794871795,0.0,0.0
2021-07-12,0.2167458432304038,0.1187648456057007,0.6110451306413301,0.0,0.0
2021-07-19,0.17393976644130302,0.12169637369391519,0.6625691456668715,0.0,0.0
2021-07-26,0.13894324853228962,0.11611219830397912,0.7168949771689498,0.0,0.0
2021-08-02,0.1246556473829201,0.10399449035812672,0.7458677685950413,0.0,0.0
2021-08-09,0.12258953168044077,0.09779614325068871,0.7506887052341598,0.0,0.0
2021-08-16,0.1090146750524109,0.1013277428371768,0.7624039133473096,0.0,0.0
2021-08-23,0.09302325581395349,0.10631229235880399,0.7800664451827243,0.0,0.0
2021-08-30,0.09583333333333334,0.1005952380952381,0.7863095238095238,0.0,0.0
2021-09-06,0.10338885697874785,0.08788052843193567,0.7943710511200459,0.0,0.0
2021-09-13,0.10463018641010223,0.07456404088995791,0.8069753457606735,0.0,0.0
2021-09-20,0.09895150720838794,0.06880733944954129,0.8165137614678899,0.0,0.0
2021-09-27,0.08867362146050671,0.06780923994038748,0.827123695976155,0.0,0.0
2021-10-04,0.07665805340223945,0.06804478897502153,0.8423772609819121,0.0,0.0
2021-10-11,0.06321839080459771,0.06226053639846743,0.8611111111111112,0.0,0.0
2021-10-18,0.054414784394250515,0.050308008213552365,0.8798767967145791,0.0,0.0
2021-10-25,0.05147864184008762,0.04271631982475356,0.882803943044907,0.0,0.0
2021-11-01,0.05199516324062878,0.037484885126964934,0.8694074969770254,0.0,0.0
2021-11-08,0.047872340425531915,0.031914893617021274,0.8550531914893617,0.0,0.0
2021-11-15,0.04483695652173913,0.028532608695652172,0.8519021739130435,0.001358695652173913,0.0
2021-11-22,0.04227212681638045,0.02774108322324967,0.8586525759577279,0.003963011889035667,0.0
2021-11-29,0.03969270166453265,0.03201024327784891,0.852752880921895,0.010243277848911651,0.0
2021-12-06,0.042091836734693876,0.039540816326530615,0.8188775510204082,0.025510204081632654,0.0
2021-12-13,0.04417670682730924,0.05488621151271754,0.7523427041499331,0.07362784471218206,0.004016064257028112
2021-12-20,0.0406015037593985,0.06466165413533835,0.6390977443609023,0.18796992481203006,0.021052631578947368
2021-12-27,0.031746031746031744,0.05952380952380952,0.498015873015873,0.32341269841269843,0.061507936507936505
2022-01-03,0.017921146953405017,0.04659498207885305,0.36917562724014336,0.3942652329749104,0.16487455197132617
