week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.005494505494505495,0.0,
2021-01-18,0.0,0.0,0.005,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.007633587786259542,0.0,
2021-03-22,0.0,0.0,0.008333333333333333,0.0,
2021-03-29,0.0,0.0,0.02857142857142857,0.0,
2021-04-05,0.0,0.0,0.05263157894736842,0.0,
2021-04-12,0.0,0.010638297872340425,0.05319148936170213,0.0,
2021-04-19,0.010101010101010102,0.010101010101010102,0.050505050505050504,0.0,
2021-04-26,0.017391304347826087,0.008695652173913044,0.043478260869565216,0.0,
2021-05-03,0.02142857142857143,0.007142857142857143,0.04285714285714286,0.0,
2021-05-10,0.017964071856287425,0.005988023952095809,0.04790419161676647,0.0,
2021-05-17,0.01015228426395939,0.015228426395939087,0.07614213197969544,0.0,
2021-05-24,0.004016064257028112,0.04417670682730924,0.17670682730923695,0.0,
2021-05-31,0.0033222591362126247,0.08637873754152824,0.31893687707641194,0.0,
2021-06-07,0.006006006006006006,0.12912912912912913,0.45645645645645644,0.0,
2021-06-14,0.007751937984496124,0.16279069767441862,0.5710594315245479,0.0,
2021-06-21,0.00423728813559322,0.1885593220338983,0.6419491525423728,0.0,
2021-06-28,0.003780718336483932,0.21172022684310018,0.6729678638941399,0.0,
2021-07-05,0.0019157088122605363,0.23946360153256704,0.6762452107279694,0.0,
2021-07-12,0.0,0.2605932203389831,0.6758474576271186,0.0,
2021-07-19,0.0,0.25476190476190474,0.7023809523809523,0.0,
2021-07-26,0.0,0.23333333333333334,0.7380952380952381,0.0,
2021-08-02,0.002207505518763797,0.22075055187637968,0.7593818984547461,0.0,
2021-08-09,0.004629629629629629,0.22685185185185186,0.7546296296296297,0.0,
2021-08-16,0.0028653295128939827,0.24068767908309455,0.7478510028653295,0.0,
2021-08-23,0.0,0.24013157894736842,0.7532894736842105,0.0,
2021-08-30,0.0,0.21639344262295082,0.7737704918032787,0.0,
2021-09-06,0.0,0.20618556701030927,0.7800687285223368,0.0,
2021-09-13,0.0,0.21338912133891214,0.7740585774058577,0.0,
2021-09-20,0.0,0.193717277486911,0.7905759162303665,0.0,
2021-09-27,0.0,0.1518987341772152,0.8354430379746836,0.0,
2021-10-04,0.0,0.11594202898550725,0.855072463768116,0.0,
2021-10-11,0.0,0.104,0.872,0.0,
2021-10-18,0.0,0.08411214953271028,0.897196261682243,0.0,
2021-10-25,0.0,0.05813953488372093,0.9186046511627907,0.0,
2021-11-01,0.0,0.041666666666666664,0.9444444444444444,0.0,
2021-11-08,0.0,0.04285714285714286,0.9285714285714286,0.0,
2021-11-15,0.0,0.06756756756756757,0.9054054054054054,0.0,
2021-11-22,0.012658227848101266,0.11392405063291139,0.8734177215189873,0.0,
2021-11-29,0.011235955056179775,0.15730337078651685,0.8089887640449438,0.0,
2021-12-06,0.0,0.22857142857142856,0.7047619047619048,0.02857142857142857,
2021-12-13,0.0,0.2214765100671141,0.6241610738255033,0.11409395973154363,
2021-12-20,0.004524886877828055,0.1493212669683258,0.5520361990950227,0.26244343891402716,
2021-12-27,0.0,0.1076923076923077,0.41923076923076924,0.4461538461538462,
2022-01-03,0.0,0.07692307692307693,0.2644230769230769,0.6346153846153846,
