week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.001277139208173691,0.0,
2021-04-05,0.001443001443001443,0.0,0.004329004329004329,0.0,
2021-04-12,0.004285714285714286,0.0,0.004285714285714286,0.0,
2021-04-19,0.009126466753585397,0.001303780964797914,0.003911342894393742,0.0,
2021-04-26,0.01611047180667434,0.0023014959723820483,0.005753739930955121,0.0,
2021-05-03,0.021897810218978103,0.0010427528675703858,0.008342022940563087,0.0,
2021-05-10,0.023350253807106598,0.0,0.008121827411167513,0.0,
2021-05-17,0.020527859237536656,0.0,0.007820136852394917,0.0,
2021-05-24,0.020389249304911955,0.0009267840593141798,0.008341056533827619,0.0,
2021-05-31,0.03058103975535168,0.0010193679918450561,0.014271151885830785,0.0,
2021-06-07,0.05412054120541206,0.0012300123001230013,0.03936039360393604,0.0,
2021-06-14,0.1016949152542373,0.002607561929595828,0.09778357235984354,0.0,
2021-06-21,0.16472114137483787,0.005188067444876783,0.1893644617380026,0.0,
2021-06-28,0.21592442645074225,0.012145748987854251,0.33873144399460187,0.0,
2021-07-05,0.22276621787025705,0.03182374541003672,0.5397796817625459,0.0,
2021-07-12,0.1801470588235294,0.046875,0.6783088235294118,0.0,
2021-07-19,0.12546676624346528,0.05078416728902166,0.7677371172516804,0.0,
2021-07-26,0.0778688524590164,0.056010928961748634,0.8340163934426229,0.0,
2021-08-02,0.05167785234899329,0.06174496644295302,0.8691275167785235,0.0,
2021-08-09,0.03814147018030513,0.06310679611650485,0.8897364771151179,0.0,
2021-08-16,0.027977044476327116,0.06169296987087518,0.9045911047345767,0.0,
2021-08-23,0.020255063765941484,0.0555138784696174,0.9204801200300075,0.0,
2021-08-30,0.01316872427983539,0.04279835390946502,0.9415637860082304,0.0,
2021-09-06,0.00819672131147541,0.036065573770491806,0.9549180327868853,0.0,
2021-09-13,0.00823045267489712,0.03539094650205761,0.9555555555555556,0.0,
2021-09-20,0.009699321047526674,0.03394762366634336,0.9553831231813773,0.0,
2021-09-27,0.011025358324145534,0.03197353914002205,0.9558985667034179,0.0,
2021-10-04,0.00861244019138756,0.031578947368421054,0.9588516746411483,0.0,
2021-10-11,0.003861003861003861,0.032432432432432434,0.962934362934363,0.0,
2021-10-18,0.0027303754266211604,0.031399317406143344,0.9651877133105802,0.0,
2021-10-25,0.002600780234070221,0.02860858257477243,0.9674902470741222,0.0,
2021-11-01,0.003472222222222222,0.025694444444444443,0.9701388888888889,0.0,
2021-11-08,0.0031413612565445027,0.024083769633507852,0.9717277486910995,0.0,
2021-11-15,0.0021929824561403508,0.021929824561403508,0.9736842105263158,0.0,
2021-11-22,0.0,0.0196078431372549,0.9673202614379085,0.00980392156862745,
2021-11-29,0.0,0.017897091722595078,0.9328859060402684,0.04697986577181208,
2021-12-06,0.0,0.016286644951140065,0.8420195439739414,0.14006514657980457,
2021-12-13,0.0,0.010291595197255575,0.614065180102916,0.37392795883361923,
