week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.001402524544179523,0.0,0.0
2021-01-11,0.0,0.0,0.002688172043010753,0.0,0.0
2021-01-18,0.0,0.0,0.0029542097488921715,0.0,0.0
2021-01-25,0.0,0.0,0.0027100271002710027,0.0,0.0
2021-02-01,0.0,0.0,0.0021691973969631237,0.0,0.0
2021-02-08,0.0,0.0,0.001088139281828074,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0024813895781637717,0.009925558312655087,0.0,0.0
2021-04-12,0.0030120481927710845,0.006024096385542169,0.02108433734939759,0.0,0.0
2021-04-19,0.00784313725490196,0.00392156862745098,0.0196078431372549,0.0,0.0
2021-04-26,0.019230769230769232,0.004807692307692308,0.019230769230769232,0.0,0.0
2021-05-03,0.023529411764705882,0.011764705882352941,0.023529411764705882,0.0,0.0
2021-05-10,0.022556390977443608,0.022556390977443608,0.03759398496240601,0.0,0.0
2021-05-17,0.02,0.03,0.04,0.0,0.0
2021-05-24,0.012345679012345678,0.024691358024691357,0.04938271604938271,0.0,0.0
2021-05-31,0.03389830508474576,0.03389830508474576,0.1694915254237288,0.0,0.0
2021-06-07,0.05084745762711865,0.01694915254237288,0.5084745762711864,0.0,0.0
2021-06-14,0.025210084033613446,0.01680672268907563,0.8151260504201681,0.0,0.0
2021-06-21,0.01557632398753894,0.021806853582554516,0.9096573208722741,0.0,0.0
2021-06-28,0.01664145234493192,0.024205748865355523,0.9122541603630863,0.0,0.0
2021-07-05,0.017699115044247787,0.02781289506953224,0.8988621997471555,0.0,0.0
2021-07-12,0.01893939393939394,0.03977272727272727,0.884469696969697,0.0,0.0
2021-07-19,0.018575851393188854,0.07739938080495357,0.8699690402476781,0.0,0.0
2021-07-26,0.014563106796116505,0.10679611650485436,0.8640776699029126,0.0,0.0
2021-08-02,0.013846153846153847,0.1123076923076923,0.8646153846153846,0.0,0.0
2021-08-09,0.01288056206088993,0.10772833723653395,0.8711943793911007,0.0,0.0
2021-08-16,0.014689265536723164,0.0903954802259887,0.888135593220339,0.0,0.0
2021-08-23,0.01473922902494331,0.06462585034013606,0.9160997732426304,0.0,0.0
2021-08-30,0.010978043912175649,0.04491017964071856,0.9401197604790419,0.0,0.0
2021-09-06,0.006222222222222222,0.03111111111111111,0.9591111111111111,0.0,0.0
2021-09-13,0.002638522427440633,0.019349164467897976,0.9762532981530343,0.0,0.0
2021-09-20,0.002244668911335578,0.012345679012345678,0.9831649831649831,0.0,0.0
2021-09-27,0.0017035775127768314,0.01192504258943782,0.9846678023850085,0.0,0.0
2021-10-04,0.0037105751391465678,0.02040816326530612,0.9703153988868275,0.0,0.0
2021-10-11,0.004552352048558422,0.027314112291350532,0.9590288315629742,0.0,0.0
2021-10-18,0.005509641873278237,0.028925619834710745,0.9504132231404959,0.0,0.0
2021-10-25,0.004552352048558422,0.027314112291350532,0.9438543247344461,0.0,0.0
2021-11-01,0.0032258064516129032,0.024193548387096774,0.9532258064516129,0.0,0.0
2021-11-08,0.004,0.021333333333333333,0.9626666666666667,0.0,0.0
2021-11-15,0.005186721991701245,0.01867219917012448,0.9636929460580913,0.0,0.0
2021-11-22,0.006745362563237774,0.016020236087689713,0.9595278246205734,0.0042158516020236085,0.0
2021-11-29,0.006125574272588055,0.016079632465543645,0.9418070444104135,0.019908116385911178,0.0
2021-12-06,0.004996431120628123,0.014275517487508922,0.8850820842255531,0.07566024268379729,0.0
2021-12-13,0.0032637075718015664,0.010443864229765013,0.7519582245430809,0.21866840731070497,0.0
2021-12-20,0.001215066828675577,0.007897934386391251,0.5407047387606319,0.4398541919805589,0.0
2021-12-27,0.00066711140760507,0.00600400266844563,0.3315543695797198,0.6490993995997332,0.0
2022-01-03,0.0,0.0040941658137154556,0.1862845445240532,0.7860798362333674,0.0010235414534288639
