week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0004962779156327543,0.0,
2021-03-08,0.0,0.00043346337234503684,0.0034677069787602947,0.0,
2021-03-15,0.0,0.003137254901960784,0.015294117647058824,0.0,
2021-03-22,0.00040404040404040404,0.0056565656565656566,0.02585858585858586,0.0,
2021-03-29,0.0,0.003833253473885961,0.018687110685194058,0.0,
2021-04-05,0.0,0.0010548523206751054,0.004746835443037975,0.0,
2021-04-12,0.0005154639175257732,0.0,0.0010309278350515464,0.0,
2021-04-19,0.001924001924001924,0.000481000481000481,0.001443001443001443,0.0,
2021-04-26,0.004343629343629344,0.0014478764478764478,0.004826254826254826,0.0,
2021-05-03,0.007054673721340388,0.0029394473838918285,0.014109347442680775,0.0,
2021-05-10,0.008023340627279359,0.00437636761487965,0.024799416484318017,0.0,
2021-05-17,0.008448540706605223,0.004608294930875576,0.02457757296466974,0.0,
2021-05-24,0.010007698229407237,0.006158583525789068,0.02617397998460354,0.0,
2021-05-31,0.012059369202226345,0.016697588126159554,0.04081632653061224,0.0,
2021-06-07,0.01645123384253819,0.0481786133960047,0.06462984723854288,0.0,
2021-06-14,0.021683673469387755,0.09438775510204081,0.10076530612244898,0.0,
2021-06-21,0.024971623155505107,0.12485811577752554,0.15664018161180476,0.0,
2021-06-28,0.02423698384201077,0.144524236983842,0.24685816876122083,0.0,
2021-07-05,0.029496402877697843,0.16330935251798562,0.40575539568345326,0.0,
2021-07-12,0.03333333333333333,0.16149425287356323,0.5729885057471265,0.0,
2021-07-19,0.029815428300993846,0.1476573592049219,0.6919072408897302,0.0,
2021-07-26,0.024214103653355988,0.13763806287170774,0.759983007646559,0.0,
2021-08-02,0.020926090828138913,0.13312555654496883,0.792520035618878,0.0,
2021-08-09,0.017311608961303463,0.13391038696537677,0.814663951120163,0.0,
2021-08-16,0.013636363636363636,0.13636363636363635,0.8318181818181818,0.0,
2021-08-23,0.012338425381903642,0.13572267920094008,0.8431257344300822,0.0,
2021-08-30,0.011834319526627219,0.12307692307692308,0.8591715976331361,0.0,
2021-09-06,0.009940357852882704,0.10934393638170974,0.8754141815772034,0.0,
2021-09-13,0.007069913589945012,0.10133542812254517,0.8853102906520032,0.0,
2021-09-20,0.0049586776859504135,0.09834710743801653,0.8925619834710744,0.0,
2021-09-27,0.003249390739236393,0.0966693744922827,0.8960194963444355,0.0,
2021-10-04,0.002457002457002457,0.09336609336609336,0.8935298935298935,0.0,
2021-10-11,0.0025662959794696323,0.08810949529512403,0.8887938408896493,0.0,
2021-10-18,0.0017406440382941688,0.07571801566579635,0.8990426457789382,0.0,
2021-10-25,0.0016515276630883566,0.06358381502890173,0.921552436003303,0.0,
