week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.012195121951219513,0.0,0.0,0.0,
2021-04-12,0.043478260869565216,0.0,0.0,0.0,
2021-04-19,0.046153846153846156,0.0,0.0,0.0,
2021-04-26,0.045454545454545456,0.015151515151515152,0.015151515151515152,0.0,
2021-05-03,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.0,
2021-05-10,0.07246376811594203,0.028985507246376812,0.014492753623188406,0.0,
2021-05-17,0.18571428571428572,0.014285714285714285,0.02857142857142857,0.0,
2021-05-24,0.3132530120481928,0.0,0.03614457831325301,0.0,
2021-05-31,0.38372093023255816,0.0,0.03488372093023256,0.0,
2021-06-07,0.4342105263157895,0.0,0.07894736842105263,0.0,
2021-06-14,0.4084507042253521,0.014084507042253521,0.18309859154929578,0.0,
2021-06-21,0.3875,0.0375,0.3125,0.0,
2021-06-28,0.37,0.04,0.44,0.0,
2021-07-05,0.34146341463414637,0.032520325203252036,0.5284552845528455,0.0,
2021-07-12,0.3383458646616541,0.022556390977443608,0.556390977443609,0.0,
2021-07-19,0.3643410852713178,0.015503875968992248,0.5581395348837209,0.0,
2021-07-26,0.37404580152671757,0.022900763358778626,0.549618320610687,0.0,
2021-08-02,0.4125874125874126,0.027972027972027972,0.5104895104895105,0.0,
2021-08-09,0.4788732394366197,0.035211267605633804,0.44366197183098594,0.0,
2021-08-16,0.5217391304347826,0.043478260869565216,0.4057971014492754,0.0,
2021-08-23,0.5230769230769231,0.05384615384615385,0.4076923076923077,0.0,
2021-08-30,0.49572649572649574,0.06837606837606838,0.4188034188034188,0.0,
2021-09-06,0.4857142857142857,0.0761904761904762,0.42857142857142855,0.0,
2021-09-13,0.449438202247191,0.06741573033707865,0.47191011235955055,0.0,
2021-09-20,0.3684210526315789,0.05263157894736842,0.5657894736842105,0.0,
2021-09-27,0.3387096774193548,0.03225806451612903,0.5967741935483871,0.0,
2021-10-04,0.3333333333333333,0.0,0.5833333333333334,0.0,
2021-10-11,0.3333333333333333,0.0,0.6111111111111112,0.0,
2021-10-18,0.25,0.0,0.6666666666666666,0.0,
2021-10-25,0.17647058823529413,0.0,0.7647058823529411,0.0,
2021-11-01,0.1111111111111111,0.0,0.7777777777777778,0.0,
2021-11-08,0.15,0.05,0.75,0.0,
2021-11-15,0.19047619047619047,0.047619047619047616,0.6666666666666666,0.0,
2021-11-22,0.16666666666666666,0.0,0.5,0.16666666666666666,
2021-11-29,0.08695652173913043,0.0,0.21739130434782608,0.6521739130434783,
2021-12-06,0.017543859649122806,0.0,0.12280701754385964,0.8421052631578947,
2021-12-13,0.009259259259259259,0.0,0.08333333333333333,0.8981481481481481,
2021-12-20,0.006134969325153374,0.0,0.06748466257668712,0.9202453987730062,
2021-12-27,0.0,0.0,0.03636363636363636,0.9636363636363636,
