week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.005154639175257732,0.0,
2021-05-17,0.0,0.0,0.012195121951219511,0.0,
2021-05-24,0.0,0.0,0.022388059701492536,0.0,
2021-05-31,0.0,0.0,0.03846153846153846,0.0,
2021-06-07,0.0,0.0,0.06756756756756754,0.0,
2021-06-14,0.0,0.0,0.13636363636363638,0.0,
2021-06-21,0.0,0.0,0.5,0.0,
2021-06-28,0.0,0.1111111111111111,0.6666666666666666,0.0,
2021-07-05,0.05555555555555555,0.1111111111111111,0.7777777777777778,0.0,
2021-07-12,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.0,
2021-07-19,0.04347826086956521,0.08695652173913042,0.8260869565217391,0.0,
2021-07-26,0.04347826086956522,0.08695652173913045,0.8260869565217392,0.0,
2021-08-02,0.043478260869565216,0.08695652173913043,0.826086956521739,0.0,
2021-08-09,0.04347826086956522,0.08695652173913045,0.8260869565217391,0.0,
2021-08-16,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.0,
2021-08-23,0.04347826086956521,0.08695652173913042,0.8260869565217391,0.0,
2021-08-30,0.04347826086956521,0.08695652173913042,0.8260869565217391,0.0,
2021-09-06,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.0,
2021-09-13,0.04347826086956522,0.08695652173913045,0.8260869565217392,0.0,
2021-09-20,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.0,
2021-09-27,0.04347826086956521,0.08695652173913042,0.8260869565217391,0.0,
2021-10-04,0.0434782608695652,0.0869565217391304,0.8260869565217391,0.0,
2021-10-11,0.04347826086956521,0.08695652173913042,0.8260869565217391,0.0,
2021-10-18,0.043478260869565195,0.08695652173913039,0.826086956521739,0.0,
2021-10-25,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.0,
2021-11-01,0.043478260869565195,0.08695652173913039,0.826086956521739,0.0,
2021-11-08,0.043478260869565154,0.08695652173913031,0.8260869565217389,0.0,
2021-11-15,0.043478260869565195,0.08695652173913039,0.8260869565217398,0.0,
2021-11-22,0.04347826086956508,0.08695652173913015,0.826086956521737,0.0,
2021-11-29,0.0,0.0,0.0,0.0,
2021-12-06,0.0,0.0,0.0,1.0,
