week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0015082956259426848,0.0,
2021-06-07,0.0,0.0,0.006276150627615063,0.0,
2021-06-14,0.0,0.0,0.01646090534979424,0.0,
2021-06-21,0.0,0.0,0.07317073170731707,0.0,
2021-06-28,0.0,0.0,0.22330097087378642,0.0,
2021-07-05,0.01652892561983471,0.0,0.5371900826446281,0.0,
2021-07-12,0.014778325123152709,0.0049261083743842365,0.8226600985221675,0.0,
2021-07-19,0.0053475935828877,0.00267379679144385,0.9411764705882353,0.0,
2021-07-26,0.0017421602787456446,0.005226480836236934,0.9790940766550522,0.0,
2021-08-02,0.0014265335235378032,0.005706134094151213,0.9871611982881597,0.0,
2021-08-09,0.0,0.005405405405405406,0.9891891891891892,0.0,
2021-08-16,0.0,0.005502063273727648,0.9917469050894085,0.0,
2021-08-23,0.0,0.007102272727272727,0.9900568181818182,0.0,
2021-08-30,0.0,0.009104704097116844,0.9908952959028832,0.0,
2021-09-06,0.0,0.006802721088435374,0.9914965986394558,0.0,
2021-09-13,0.0,0.005893909626719057,0.9921414538310412,0.0,
2021-09-20,0.0,0.004796163069544364,0.9928057553956835,0.0,
2021-09-27,0.0,0.007832898172323759,0.9921671018276762,0.0,
2021-10-04,0.0,0.007194244604316547,0.988009592326139,0.0,
2021-10-11,0.0,0.0087527352297593,0.9890590809628009,0.0,
2021-10-18,0.0,0.004219409282700422,0.9915611814345991,0.0,
2021-10-25,0.0,0.002004008016032064,0.9939879759519038,0.0,
2021-11-01,0.0,0.0036363636363636364,0.9945454545454545,0.0,
2021-11-08,0.0017730496453900709,0.0035460992907801418,0.9911347517730497,0.0,
2021-11-15,0.0020242914979757085,0.006072874493927126,0.9878542510121457,0.0,
2021-11-22,0.0021551724137931034,0.004310344827586207,0.9913793103448276,0.0,
2021-11-29,0.0,0.0033003300330033004,0.9917491749174917,0.0,
2021-12-06,0.0,0.005471956224350205,0.9863201094391245,0.005471956224350205,
2021-12-13,0.0,0.006359300476947536,0.9650238473767886,0.02702702702702703,
2021-12-20,0.0,0.00558659217877095,0.8910614525139665,0.1005586592178771,
