week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0022727272727272726,0.0,0.0
2021-04-05,0.0,0.0,0.006122448979591836,0.0,0.0
2021-04-12,0.0,0.0,0.003861003861003861,0.0,0.0
2021-04-19,0.0,0.0,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0,0.0
2021-05-03,0.004140786749482402,0.0,0.0,0.0,0.0
2021-05-10,0.019656019656019656,0.0,0.0,0.0,0.0
2021-05-17,0.05246913580246913,0.0,0.0,0.0,0.0
2021-05-24,0.10330578512396695,0.0,0.0,0.0,0.0
2021-05-31,0.1712707182320442,0.0,0.011049723756906077,0.0,0.0
2021-06-07,0.2318840579710145,0.0,0.057971014492753624,0.0,0.0
2021-06-14,0.25,0.0,0.14423076923076922,0.0,0.0
2021-06-21,0.18,0.01,0.26,0.0,0.0
2021-06-28,0.0855614973262032,0.016042780748663103,0.2727272727272727,0.0,0.0
2021-07-05,0.04057971014492753,0.017391304347826087,0.2811594202898551,0.0,0.0
2021-07-12,0.02097902097902098,0.03263403263403263,0.34265734265734266,0.0,0.0
2021-07-19,0.01015228426395939,0.06852791878172589,0.43908629441624364,0.0,0.0
2021-07-26,0.00641025641025641,0.11217948717948718,0.5544871794871795,0.0,0.0
2021-08-02,0.00398406374501992,0.13147410358565736,0.6772908366533864,0.0,0.0
2021-08-09,0.004608294930875576,0.11059907834101383,0.7972350230414746,0.0,0.0
2021-08-16,0.009615384615384616,0.08653846153846154,0.8798076923076923,0.0,0.0
2021-08-23,0.013100436681222707,0.07860262008733625,0.9039301310043668,0.0,0.0
2021-08-30,0.011627906976744186,0.07364341085271318,0.9147286821705426,0.0,0.0
2021-09-06,0.007168458781362007,0.07885304659498207,0.9139784946236559,0.0,0.0
2021-09-13,0.0,0.0777027027027027,0.918918918918919,0.0,0.0
2021-09-20,0.0,0.05379746835443038,0.9462025316455697,0.0,0.0
2021-09-27,0.0,0.032448377581120944,0.967551622418879,0.0,0.0
2021-10-04,0.0,0.01694915254237288,0.980225988700565,0.0,0.0
2021-10-11,0.0,0.01078167115902965,0.9892183288409704,0.0,0.0
2021-10-18,0.0,0.005115089514066497,0.9948849104859335,0.0,0.0
2021-10-25,0.0,0.005,0.995,0.0,0.0
2021-11-01,0.0,0.012626262626262626,0.9848484848484849,0.0,0.0
2021-11-08,0.0,0.020356234096692113,0.9796437659033079,0.0,0.0
2021-11-15,0.0,0.01951219512195122,0.9780487804878049,0.0,0.0
2021-11-22,0.0,0.012684989429175475,0.985200845665962,0.0,0.0
2021-11-29,0.0,0.005415162454873646,0.9927797833935018,0.0,0.0
2021-12-06,0.0,0.005076142131979695,0.9847715736040609,0.00676818950930626,0.0
2021-12-13,0.0,0.010084033613445379,0.9478991596638655,0.040336134453781515,0.0
2021-12-20,0.0,0.014234875444839857,0.8736654804270463,0.1103202846975089,0.0
