week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.013333333333333334,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.03225806451612903,0.0,0.0
2021-03-15,0.0,0.0,0.0967741935483871,0.0,0.0
2021-03-22,0.0,0.0,0.05714285714285714,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.014925373134328358,0.0,0.0
2021-04-12,0.0,0.0,0.023255813953488372,0.0,0.0
2021-04-19,0.0,0.0,0.01098901098901099,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0,0.0
2021-05-03,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0
2021-05-10,0.014925373134328358,0.014925373134328358,0.04477611940298507,0.0,0.0
2021-05-17,0.02,0.02,0.04,0.0,0.0
2021-05-24,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.0,0.0
2021-05-31,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.0,0.0
2021-06-07,0.058823529411764705,0.11764705882352941,0.14705882352941177,0.0,0.0
2021-06-14,0.10526315789473684,0.15789473684210525,0.23684210526315788,0.0,0.0
2021-06-21,0.0851063829787234,0.2553191489361702,0.2765957446808511,0.0,0.0
2021-06-28,0.03333333333333333,0.4,0.26666666666666666,0.0,0.0
2021-07-05,0.029850746268656716,0.5522388059701493,0.23880597014925373,0.0,0.0
2021-07-12,0.014492753623188406,0.6231884057971014,0.2318840579710145,0.0,0.0
2021-07-19,0.022222222222222223,0.6222222222222222,0.25555555555555554,0.0,0.0
2021-07-26,0.014492753623188406,0.5579710144927537,0.3333333333333333,0.0,0.0
2021-08-02,0.01020408163265306,0.47959183673469385,0.42857142857142855,0.0,0.0
2021-08-09,0.007874015748031496,0.421259842519685,0.5118110236220472,0.0,0.0
2021-08-16,0.006779661016949152,0.3898305084745763,0.5728813559322034,0.0,0.0
2021-08-23,0.006389776357827476,0.3769968051118211,0.6038338658146964,0.0,0.0
2021-08-30,0.008955223880597015,0.3641791044776119,0.6208955223880597,0.0,0.0
2021-09-06,0.007978723404255319,0.35638297872340424,0.6276595744680851,0.0,0.0
2021-09-13,0.00997506234413965,0.3491271820448878,0.6359102244389028,0.0,0.0
2021-09-20,0.010443864229765013,0.31592689295039167,0.6684073107049608,0.0,0.0
2021-09-27,0.008522727272727272,0.2869318181818182,0.7017045454545454,0.0,0.0
2021-10-04,0.006329113924050633,0.2911392405063291,0.6993670886075949,0.0,0.0
2021-10-11,0.007518796992481203,0.31954887218045114,0.6691729323308271,0.0,0.0
2021-10-18,0.0045871559633027525,0.3256880733944954,0.6651376146788991,0.0,0.0
2021-10-25,0.0,0.3106796116504854,0.6796116504854369,0.0,0.0
2021-11-01,0.0,0.3101851851851852,0.6805555555555556,0.0,0.0
2021-11-08,0.0,0.2962962962962963,0.6898148148148148,0.0,0.0
2021-11-15,0.0,0.2663316582914573,0.7236180904522613,0.0,0.0
2021-11-22,0.0,0.2640449438202247,0.7247191011235955,0.0,0.0
2021-11-29,0.0,0.26875,0.71875,0.00625,0.0
2021-12-06,0.0,0.23943661971830985,0.7112676056338029,0.04225352112676056,0.0
2021-12-13,0.0,0.19083969465648856,0.6030534351145038,0.20610687022900764,0.0
2021-12-20,0.0,0.15384615384615385,0.36153846153846153,0.47692307692307695,0.0
2021-12-27,0.0,0.11818181818181818,0.18181818181818182,0.6909090909090909,0.0
