week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,1.0,0.0,
2021-05-03,0.0,0.0,0.5,0.0,
2021-05-10,0.0,0.0,0.6,0.0,
2021-05-17,0.0,0.0,0.7499999999999999,0.0,
2021-05-24,0.0,0.0,1.0,0.0,
2021-05-31,0.0,0.0,1.0,0.0,
2021-06-07,0.0,0.0,1.0,0.0,
2021-06-14,0.0,0.0,0.5,0.0,
2021-06-21,0.0,0.0,1.0,0.0,
2021-06-28,0.0,0.0,1.0,0.0,
2021-07-05,0.0,0.0,1.0,0.0,
2021-07-12,0.0,0.0,1.0,0.0,
2021-07-19,0.0,0.0,1.0,0.0,
2021-07-26,0.0,0.0,1.0,0.0,
2021-08-02,0.0,0.0,1.0,0.0,
2021-08-09,0.0,0.0,1.0,0.0,
2021-08-16,0.0,0.0,0.9565217391304348,0.0,
2021-08-23,0.0,0.0,1.0,0.0,
2021-08-30,0.0,0.0,0.9743589743589743,0.0,
2021-09-06,0.0,0.0,0.9736842105263158,0.0,
2021-09-13,0.0,0.029411764705882353,0.9411764705882353,0.0,
2021-09-20,0.0,0.022727272727272728,0.9545454545454546,0.0,
2021-09-27,0.018867924528301886,0.0,0.9622641509433962,0.0,
2021-10-04,0.0,0.0,0.9803921568627451,0.0,
2021-10-11,0.0,0.0,0.9791666666666666,0.0,
2021-10-18,0.0,0.0,1.0,0.0,
2021-10-25,0.0,0.0,1.0,0.0,
2021-11-01,0.0,0.0,1.0,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,1.0,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,0.9736842105263158,0.0,
2021-12-06,0.0,0.0,0.9574468085106383,0.02127659574468085,
2021-12-13,0.0,0.0,0.9130434782608695,0.06521739130434782,
2021-12-20,0.0,0.0,0.825,0.15,
