week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.5,0.0,
2021-06-28,0.0,0.0,0.7272727272727273,0.0,
2021-07-05,0.0,0.045454545454545456,0.8636363636363636,0.0,
2021-07-12,0.03125,0.0625,0.8125,0.0,
2021-07-19,0.04,0.08,0.78,0.0,
2021-07-26,0.05555555555555555,0.1111111111111111,0.7222222222222222,0.0,
2021-08-02,0.053254437869822494,0.10650887573964499,0.7337278106508877,0.0,
2021-08-09,0.05063291139240506,0.10126582278481013,0.7468354430379747,0.0,
2021-08-16,0.047619047619047616,0.09523809523809523,0.7619047619047619,0.0,
2021-08-23,0.04411764705882353,0.08823529411764706,0.7794117647058824,0.0,
2021-08-30,0.04,0.08,0.8,0.0,
2021-09-06,0.03508771929824561,0.07017543859649122,0.824561403508772,0.0,
2021-09-13,0.029126213592233007,0.058252427184466014,0.8543689320388351,0.0,
2021-09-20,0.021739130434782605,0.04347826086956521,0.8913043478260869,0.0,
2021-09-27,0.012345679012345677,0.024691358024691353,0.9382716049382717,0.0,
2021-10-04,0.0,0.0,1.0,0.0,
2021-10-11,0.0,0.0,1.0,0.0,
2021-10-18,0.0,0.0,1.0,0.0,
2021-10-25,0.0,0.0,1.0,0.0,
2021-11-01,0.0,0.0,1.0,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,1.0,0.0,
2021-11-22,0.0,0.0,0.9761904761904762,0.0,
2021-11-29,0.0,0.0,0.9814814814814815,0.0,
2021-12-06,0.0,0.020833333333333332,0.875,0.07291666666666667,
2021-12-13,0.0,0.047619047619047616,0.7380952380952381,0.16666666666666666,
2021-12-20,0.0,0.06779661016949153,0.6440677966101694,0.2711864406779661,
