week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.003952569169960474,0.0,0.0,
2021-05-10,0.0,0.009888751545117428,0.0012360939431396785,0.0,
2021-05-17,0.0012254901960784314,0.012254901960784314,0.004901960784313725,0.0,
2021-05-24,0.00117096018735363,0.01639344262295082,0.01522248243559719,0.0,
2021-05-31,0.0,0.02813852813852814,0.03354978354978355,0.0,
2021-06-07,0.0,0.041501976284584984,0.05434782608695652,0.0,
2021-06-14,0.0,0.052788844621513946,0.09362549800796813,0.0,
2021-06-21,0.0010309278350515464,0.08144329896907217,0.17938144329896907,0.0,
2021-06-28,0.0038910505836575876,0.13715953307392997,0.2840466926070039,0.0,
2021-07-05,0.013157894736842105,0.19642857142857142,0.3609022556390977,0.0,
2021-07-12,0.02131782945736434,0.23934108527131784,0.42248062015503873,0.0,
2021-07-19,0.01699463327370304,0.2629695885509839,0.4919499105545617,0.0,
2021-07-26,0.012724550898203593,0.27245508982035926,0.5217065868263473,0.0,
2021-08-02,0.013031550068587106,0.2613168724279835,0.5390946502057613,0.0,
2021-08-09,0.014134275618374558,0.23957597173144876,0.5893992932862191,0.0,
2021-08-16,0.012223071046600458,0.22765469824293355,0.6371275783040489,0.0,
2021-08-23,0.009860312243221035,0.24157764995891537,0.6557107641741988,0.0,
2021-08-30,0.009795191451469279,0.25823686553873554,0.6812110418521816,0.0,
2021-09-06,0.0091324200913242,0.26210045662100456,0.7095890410958904,0.0,
2021-09-13,0.006439742410303588,0.2511499540018399,0.7332106715731371,0.0,
2021-09-20,0.004512635379061372,0.2283393501805054,0.7617328519855595,0.0,
2021-09-27,0.00425531914893617,0.21361702127659574,0.7770212765957447,0.0,
2021-10-04,0.004317789291882556,0.20552677029360966,0.7867012089810017,0.0,
2021-10-11,0.004816955684007707,0.19460500963391136,0.7996146435452793,0.0,
2021-10-18,0.004310344827586207,0.18426724137931033,0.8092672413793104,0.0,
2021-10-25,0.002288329519450801,0.17620137299771166,0.8180778032036613,0.0,
2021-11-01,0.002430133657351154,0.16646415552855406,0.827460510328068,0.0,
2021-11-08,0.001349527665317139,0.15654520917678813,0.8367071524966262,0.0,
2021-11-15,0.0015873015873015873,0.14603174603174604,0.8476190476190476,0.0,
2021-11-22,0.0018552875695732839,0.14100185528756956,0.8515769944341373,0.0018552875695732839,
2021-11-29,0.0,0.1392156862745098,0.8509803921568627,0.0058823529411764705,
2021-12-06,0.0,0.1301775147928994,0.8422090729783037,0.02564102564102564,
2021-12-13,0.0,0.11185682326621924,0.7583892617449665,0.12751677852348994,
2021-12-20,0.0,0.07651715039577836,0.5171503957783641,0.40369393139841686,
2021-12-27,0.0,0.045871559633027525,0.2691131498470948,0.6819571865443425,
2022-01-03,0.0,0.027649769585253458,0.16129032258064516,0.8064516129032258,
