week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.3333333333333333,0.0,0.3333333333333333,0.0,
2021-04-26,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,
2021-05-03,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.0,
2021-05-10,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0,
2021-05-17,0.2,0.2,0.5,0.0,
2021-05-24,0.2,0.2,0.4,0.0,
2021-05-31,0.25,0.1875,0.4375,0.0,
2021-06-07,0.2631578947368421,0.15789473684210525,0.47368421052631576,0.0,
2021-06-14,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.0,
2021-06-21,0.25,0.125,0.375,0.0,
2021-06-28,0.3333333333333333,0.16666666666666666,0.5,0.0,
2021-07-05,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,
2021-07-12,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.0,
2021-07-19,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.0,
2021-07-26,0.0,0.15384615384615385,0.6923076923076923,0.0,
2021-08-02,0.06666666666666667,0.2,0.6666666666666666,0.0,
2021-08-09,0.1111111111111111,0.16666666666666666,0.6666666666666666,0.0,
2021-08-16,0.1111111111111111,0.14814814814814814,0.7037037037037037,0.0,
2021-08-23,0.08333333333333333,0.16666666666666666,0.7222222222222222,0.0,
2021-08-30,0.05263157894736842,0.15789473684210525,0.7631578947368421,0.0,
2021-09-06,0.05555555555555555,0.1111111111111111,0.8055555555555556,0.0,
2021-09-13,0.06666666666666667,0.1111111111111111,0.8,0.0,
2021-09-20,0.0547945205479452,0.136986301369863,0.7945205479452054,0.0,
2021-09-27,0.033707865168539325,0.1348314606741573,0.8089887640449438,0.0,
2021-10-04,0.03076923076923077,0.13846153846153847,0.8153846153846154,0.0,
2021-10-11,0.02702702702702703,0.13513513513513514,0.8108108108108109,0.0,
2021-10-18,0.0,0.11538461538461539,0.8461538461538461,0.0,
2021-10-25,0.0,0.15,0.85,0.0,
2021-11-01,0.0,0.1,0.8,0.0,
2021-11-08,0.0,0.2,0.6,0.0,
2021-11-15,0.0,0.2,0.6,0.0,
2021-11-22,0.0,0.16666666666666666,0.75,0.0,
2021-11-29,0.0,0.09090909090909091,0.8181818181818182,0.045454545454545456,
2021-12-06,0.0,0.06896551724137931,0.896551724137931,0.0,
2021-12-13,0.0,0.034482758620689655,0.9310344827586207,0.034482758620689655,
2021-12-20,0.0,0.0,0.7142857142857143,0.19047619047619047,
2021-12-27,0.0,0.0,0.3333333333333333,0.6,
