week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0015698587127158557,0.0,0.0
2021-01-11,0.0,0.0013280212483399733,0.005312084993359893,0.0,0.0
2021-01-18,0.0,0.0011750881316098707,0.005875440658049354,0.0,0.0
2021-01-25,0.0,0.0,0.0031746031746031746,0.0,0.0
2021-02-01,0.0,0.0,0.000945179584120983,0.0,0.0
2021-02-08,0.0,0.0,0.002626970227670753,0.0,0.0
2021-02-15,0.0,0.0008340283569641367,0.003336113427856547,0.0,0.0
2021-02-22,0.0,0.0,0.002329192546583851,0.0,0.0
2021-03-01,0.0,0.0,0.001349527665317139,0.0,0.0
2021-03-08,0.0,0.0005621135469364812,0.0022484541877459247,0.0,0.0
2021-03-15,0.0,0.0,0.0025458248472505093,0.0,0.0
2021-03-22,0.0,0.0,0.0015527950310559005,0.0,0.0
2021-03-29,0.0,0.0,0.0005282620179609086,0.0,0.0
2021-04-05,0.0,0.0,0.0010655301012253596,0.0,0.0
2021-04-12,0.0,0.0005446623093681918,0.0032679738562091504,0.0,0.0
2021-04-19,0.0010905125408942203,0.0016357688113413304,0.003816793893129771,0.0,0.0
2021-04-26,0.0026483050847457626,0.00211864406779661,0.0026483050847457626,0.0,0.0
2021-05-03,0.0026014568158168575,0.0026014568158168575,0.0026014568158168575,0.0,0.0
2021-05-10,0.0016357688113413304,0.003271537622682661,0.003816793893129771,0.0,0.0
2021-05-17,0.0005892751915144372,0.00648202710665881,0.0058927519151443725,0.0,0.0
2021-05-24,0.001282051282051282,0.01217948717948718,0.009615384615384616,0.0,0.0
2021-05-31,0.0028011204481792717,0.021708683473389355,0.02030812324929972,0.0,0.0
2021-06-07,0.005988023952095809,0.03293413173652695,0.050149700598802395,0.0,0.0
2021-06-14,0.011961722488038277,0.051036682615629984,0.10606060606060606,0.0,0.0
2021-06-21,0.0216998191681736,0.08860759493670886,0.1844484629294756,0.0,0.0
2021-06-28,0.029383886255924172,0.1819905213270142,0.2966824644549763,0.0,0.0
2021-07-05,0.025087108013937282,0.31010452961672474,0.4097560975609756,0.0,0.0
2021-07-12,0.020105313547151747,0.3776926759214935,0.46864528482527523,0.0,0.0
2021-07-19,0.018995356690586745,0.3946813001266357,0.5111861544955677,0.0,0.0
2021-07-26,0.017740429505135387,0.38608776844070963,0.5546218487394958,0.0,0.0
2021-08-02,0.012994350282485875,0.3649717514124294,0.6,0.0,0.0
2021-08-09,0.009144350097975179,0.33376877857609405,0.6459830176355323,0.0,0.0
2021-08-16,0.007874015748031496,0.2926509186351706,0.6929133858267716,0.0,0.0
2021-08-23,0.008403361344537815,0.25090036014405764,0.7358943577430972,0.0,0.0
2021-08-30,0.008797653958944282,0.22111436950146626,0.7659824046920821,0.0,0.0
2021-09-06,0.007087628865979381,0.2029639175257732,0.7860824742268041,0.0,0.0
2021-09-13,0.006437768240343348,0.1938483547925608,0.7968526466380543,0.0,0.0
2021-09-20,0.006097560975609756,0.18902439024390244,0.8025914634146342,0.0,0.0
2021-09-27,0.004918032786885246,0.17950819672131146,0.8122950819672131,0.0,0.0
2021-10-04,0.0034393809114359416,0.16165090283748926,0.8331900257953568,0.0,0.0
2021-10-11,0.0015987210231814548,0.14708233413269384,0.8497202238209433,0.0,0.0
2021-10-18,0.000715307582260372,0.14234620886981403,0.8547925608011445,0.0,0.0
2021-10-25,0.0006531678641410843,0.1378184193337688,0.8602220770738079,0.0,0.0
2021-11-01,0.0005885815185403178,0.12713360800470866,0.8716892289582107,0.0,0.0
2021-11-08,0.000552791597567717,0.11498065229408513,0.8833609729132117,0.0,0.0
2021-11-15,0.0,0.10543478260869565,0.8918478260869566,0.0016304347826086956,0.0
2021-11-22,0.0,0.09376664890783165,0.895045285029302,0.010655301012253596,0.0
2021-11-29,0.0,0.07764460656591975,0.8931735278791036,0.028139656070870246,0.0
2021-12-06,0.0,0.06403688524590163,0.8775614754098361,0.05737704918032787,0.0
2021-12-13,0.0,0.052604698672114404,0.8248212461695608,0.12206332992849847,0.0
2021-12-20,0.0,0.04367053620784964,0.7412935323383084,0.21337755666113875,0.0
2021-12-27,0.0,0.03770739064856712,0.6644042232277526,0.2948717948717949,0.0007541478129713424
2022-01-03,0.0,0.03125,0.5803571428571429,0.38392857142857145,0.001488095238095238
