week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.06666666666666667,0.0,
2021-04-12,0.0,0.0,0.06666666666666667,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.3333333333333333,0.0,
2021-05-31,0.0,0.0,0.25,0.0,
2021-06-07,0.0,0.0,0.4,0.0,
2021-06-14,0.0,0.0,0.42857142857142855,0.0,
2021-06-21,0.0,0.0,0.5714285714285714,0.0,
2021-06-28,0.0,0.0,0.7142857142857143,0.0,
2021-07-05,0.0,0.125,0.5,0.0,
2021-07-12,0.0,0.3333333333333333,0.5833333333333334,0.0,
2021-07-19,0.0,0.3157894736842105,0.631578947368421,0.0,
2021-07-26,0.0,0.21052631578947367,0.7894736842105263,0.0,
2021-08-02,0.0,0.125,0.875,0.0,
2021-08-09,0.0,0.125,0.8333333333333334,0.0,
2021-08-16,0.0,0.04225352112676056,0.9436619718309859,0.0,
2021-08-23,0.0,0.0111731843575419,0.9832402234636871,0.0,
2021-08-30,0.0,0.0038461538461538464,0.9961538461538462,0.0,
2021-09-06,0.0,0.0,0.9955947136563876,0.0,
2021-09-13,0.0,0.0,0.9935897435897436,0.0,
2021-09-20,0.008264462809917356,0.0,0.9834710743801653,0.0,
2021-09-27,0.007751937984496124,0.0,0.9922480620155039,0.0,
2021-10-04,0.0056179775280898875,0.0,0.9943820224719101,0.0,
2021-10-11,0.0,0.0,1.0,0.0,
2021-10-18,0.0,0.0,1.0,0.0,
2021-10-25,0.0,0.0,0.9968553459119497,0.0,
2021-11-01,0.0,0.0,1.0,0.0,
2021-11-08,0.0,0.0,1.0,0.0,
2021-11-15,0.0,0.0,0.9964664310954063,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,1.0,0.0,
2021-12-06,0.0,0.0,0.9883040935672515,0.011695906432748537,
2021-12-13,0.0,0.0,0.9440559440559441,0.055944055944055944,
2021-12-20,0.0,0.0,0.8290598290598291,0.17094017094017094,
2021-12-27,0.0,0.0,0.7073170731707317,0.2926829268292683,
