week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0375,0.0,
2021-02-01,0.0,0.0,0.07291666666666667,0.0,
2021-02-08,0.0,0.0,0.06666666666666667,0.0,
2021-02-15,0.0,0.0,0.03225806451612903,0.0,
2021-02-22,0.0,0.0,0.04225352112676056,0.0,
2021-03-01,0.0,0.0,0.10714285714285714,0.0,
2021-03-08,0.0,0.0,0.15555555555555556,0.0,
2021-03-15,0.0,0.0,0.0967741935483871,0.0,
2021-03-22,0.0,0.0,0.05263157894736842,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.1111111111111111,0.0,
2021-05-03,0.0,0.0,0.25,0.0,
2021-05-10,0.0,0.0,0.2,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.3333333333333333,0.0,
2021-06-07,0.0,0.0,0.75,0.0,
2021-06-14,0.0,0.0,1.0,0.0,
2021-06-21,0.0,0.0,0.7142857142857143,0.0,
2021-06-28,0.0,0.0,0.7,0.0,
2021-07-05,0.058823529411764705,0.0,0.7647058823529411,0.0,
2021-07-12,0.038461538461538464,0.0,0.8461538461538461,0.0,
2021-07-19,0.0392156862745098,0.0,0.8823529411764706,0.0,
2021-07-26,0.03389830508474576,0.00847457627118644,0.864406779661017,0.0,
2021-08-02,0.024752475247524754,0.0049504950495049506,0.8811881188118812,0.0,
2021-08-09,0.008130081300813009,0.0040650406504065045,0.926829268292683,0.0,
2021-08-16,0.0,0.0,0.9581749049429658,0.0,
2021-08-23,0.0,0.0,0.9691119691119691,0.0,
2021-08-30,0.003787878787878788,0.0,0.9734848484848485,0.0,
2021-09-06,0.003745318352059925,0.0,0.9737827715355806,0.0,
2021-09-13,0.0,0.0,0.9672897196261683,0.0,
2021-09-20,0.0,0.0,0.9692307692307692,0.0,
2021-09-27,0.0,0.0,0.971830985915493,0.0,
2021-10-04,0.0,0.0,0.9772727272727273,0.0,
2021-10-11,0.0,0.0,0.9393939393939394,0.0,
2021-10-18,0.0,0.07692307692307693,0.8846153846153846,0.0,
2021-10-25,0.0,0.15,0.8,0.0,
2021-11-01,0.0,0.1875,0.75,0.0,
2021-11-08,0.0,0.15384615384615385,0.7692307692307693,0.0,
2021-11-15,0.0,0.07692307692307693,0.6923076923076923,0.07692307692307693,
2021-11-22,0.0,0.0,0.6666666666666666,0.23809523809523808,
2021-11-29,0.0,0.0,0.5483870967741935,0.3548387096774194,
2021-12-06,0.0,0.0,0.3235294117647059,0.5882352941176471,
2021-12-13,0.0,0.0,0.13793103448275862,0.8275862068965517,
