week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.002336448598130841,0.0,
2021-05-03,0.0,0.0,0.008158508158508158,0.0,
2021-05-10,0.0,0.0,0.01698754246885617,0.0,
2021-05-17,0.0,0.0,0.023148148148148147,0.0,
2021-05-24,0.001287001287001287,0.0,0.02702702702702703,0.0,
2021-05-31,0.007451564828614009,0.0014903129657228018,0.02533532041728763,0.0,
2021-06-07,0.028716216216216218,0.0033783783783783786,0.02702702702702703,0.0,
2021-06-14,0.061895551257253385,0.01160541586073501,0.04448742746615087,0.0,
2021-06-21,0.06888888888888889,0.04,0.07777777777777778,0.0,
2021-06-28,0.04295942720763723,0.1360381861575179,0.10739856801909307,0.0,
2021-07-05,0.0166270783847981,0.30641330166270786,0.1330166270783848,0.0,
2021-07-12,0.006880733944954129,0.4541284403669725,0.17660550458715596,0.0,
2021-07-19,0.00663716814159292,0.5221238938053098,0.252212389380531,0.0,
2021-07-26,0.00796812749003984,0.5119521912350598,0.35856573705179284,0.0,
2021-08-02,0.006688963210702341,0.4414715719063545,0.4816053511705686,0.0,
2021-08-09,0.007072135785007072,0.3507779349363508,0.6039603960396039,0.0,
2021-08-16,0.008684863523573201,0.27791563275434245,0.6960297766749379,0.0,
2021-08-23,0.009142857142857144,0.23885714285714285,0.7462857142857143,0.0,
2021-08-30,0.005376344086021506,0.22365591397849463,0.7688172043010753,0.0,
2021-09-06,0.0029850746268656717,0.19900497512437812,0.7970149253731343,0.0,
2021-09-13,0.002912621359223301,0.1650485436893204,0.8310679611650486,0.0,
2021-09-20,0.002070393374741201,0.14285714285714285,0.8540372670807453,0.0,
2021-09-27,0.0,0.135632183908046,0.8620689655172413,0.0,
2021-10-04,0.0,0.12098765432098765,0.8777777777777778,0.0,
2021-10-11,0.0,0.08746736292428199,0.9112271540469974,0.0,
2021-10-18,0.0,0.055269922879177376,0.9434447300771208,0.0,
2021-10-25,0.0,0.04120267260579064,0.9587973273942093,0.0,
2021-11-01,0.0,0.03736479842674533,0.9616519174041298,0.0,
2021-11-08,0.0,0.02914572864321608,0.9698492462311558,0.0,
2021-11-15,0.0,0.017777777777777778,0.9811111111111112,0.0,
2021-11-22,0.0,0.013189448441247002,0.9760191846522782,0.009592326139088728,
2021-11-29,0.0,0.013784461152882205,0.9273182957393483,0.05764411027568922,
2021-12-06,0.0,0.014511873350923483,0.8232189973614775,0.15963060686015831,
2021-12-13,0.0,0.010416666666666666,0.7135416666666666,0.2708333333333333,
2021-12-20,0.0,0.006644518272425249,0.6511627906976745,0.33554817275747506,
2021-12-27,0.0,0.0,0.6209677419354839,0.3709677419354839,
2022-01-03,0.0,0.0,0.5,0.5,
