week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.047619047619047616,0.0,0.047619047619047616,0.0,
2021-05-24,0.1111111111111111,0.0,0.05555555555555555,0.0,
2021-05-31,0.07352941176470588,0.014705882352941176,0.04411764705882353,0.0,
2021-06-07,0.06818181818181818,0.03409090909090909,0.06818181818181818,0.0,
2021-06-14,0.05970149253731343,0.05970149253731343,0.08955223880597014,0.0,
2021-06-21,0.025,0.075,0.1,0.0,
2021-06-28,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.0,
2021-07-05,0.03125,0.09375,0.3125,0.0,
2021-07-12,0.0,0.13333333333333333,0.5666666666666667,0.0,
2021-07-19,0.0,0.125,0.71875,0.0,
2021-07-26,0.02564102564102564,0.10256410256410256,0.7435897435897436,0.0,
2021-08-02,0.02,0.1,0.8,0.0,
2021-08-09,0.017543859649122806,0.12280701754385964,0.8245614035087719,0.0,
2021-08-16,0.016666666666666666,0.11666666666666667,0.8666666666666667,0.0,
2021-08-23,0.013333333333333334,0.08,0.88,0.0,
2021-08-30,0.023809523809523808,0.07142857142857142,0.8809523809523809,0.0,
2021-09-06,0.016666666666666666,0.06666666666666667,0.8833333333333333,0.0,
2021-09-13,0.0,0.05405405405405406,0.918918918918919,0.0,
2021-09-20,0.0,0.034482758620689655,0.9310344827586207,0.0,
2021-09-27,0.0,0.09090909090909091,0.8636363636363636,0.0,
2021-10-04,0.0,0.05555555555555555,0.8333333333333334,0.0,
2021-10-11,0.0,0.0,0.95,0.0,
2021-10-18,0.0,0.0,0.9565217391304348,0.0,
2021-10-25,0.0,0.0,0.9130434782608695,0.0,
2021-11-01,0.0,0.0,0.92,0.0,
2021-11-08,0.0,0.0,0.9565217391304348,0.0,
2021-11-15,0.0,0.0,1.0,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,0.7777777777777778,0.0,
2021-12-06,0.0,0.0,0.6153846153846154,0.07692307692307693,
2021-12-13,0.0,0.0,0.5384615384615384,0.23076923076923078,
2021-12-20,0.0,0.0,0.46153846153846156,0.46153846153846156,
2021-12-27,0.0,0.0,0.23076923076923078,0.6923076923076923,
