week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-07-13,0.0,0.0,0.0,,
2020-07-20,0.0,0.0,0.0,,
2020-07-27,0.0,0.0,0.0,,
2020-08-03,0.0,0.0,0.0,,
2020-08-10,0.0,0.0,0.0,,
2020-08-17,0.0,0.0,0.0,,
2020-08-24,0.0,0.0,0.0,,
2020-08-31,0.0,0.0,0.0,,
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.0,0.0,,
2021-04-12,0.0,0.0,0.0,,
2021-04-19,0.0,0.0,0.0,,
2021-04-26,0.0,0.0,0.0,,
2021-05-03,0.0,0.0,0.0,,
2021-05-10,0.0,0.0,0.0,,
2021-05-17,0.0,0.0,0.0,,
2021-05-24,0.0,0.0,0.0,,
2021-05-31,0.0,0.0,0.0,,
2021-06-07,0.0,0.0,0.0,,
2021-06-14,0.0,0.0,0.0,,
2021-06-21,0.0,0.0,0.0,,
2021-06-28,0.0,0.0,0.0,,
2021-07-05,0.0,0.4,0.0,,
2021-07-12,0.0,0.4,0.0,,
2021-07-19,0.0,0.36363636363636365,0.0,,
2021-07-26,0.0,0.2222222222222222,0.2222222222222222,,
2021-08-02,0.0,0.1111111111111111,0.5555555555555556,,
2021-08-09,0.0,0.06666666666666667,0.8,,
2021-08-16,0.0,0.14634146341463414,0.8048780487804879,,
2021-08-23,0.0,0.15625,0.8229166666666666,,
2021-08-30,0.0,0.16778523489932887,0.8322147651006712,,
2021-09-06,0.0,0.20512820512820512,0.7884615384615384,,
2021-09-13,0.0,0.33587786259541985,0.6412213740458015,,
2021-09-20,0.0,0.4921875,0.46875,,
2021-09-27,0.0,0.5419354838709678,0.4258064516129032,,
2021-10-04,0.0,0.5730337078651685,0.4101123595505618,,
2021-10-11,0.0,0.5974025974025974,0.3961038961038961,,
2021-10-18,0.0,0.5943396226415094,0.4056603773584906,,
2021-10-25,0.0,0.5633802816901409,0.4225352112676056,,
2021-11-01,0.0,0.5714285714285714,0.42857142857142855,,
2021-11-08,0.0,0.5217391304347826,0.4782608695652174,,
2021-11-15,0.0,0.42857142857142855,0.5714285714285714,,
