week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.005847953216374269,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.005813953488372093,0.0,
2021-06-21,0.0,0.0,0.010238907849829351,0.0,
2021-06-28,0.0,0.0,0.017241379310344827,0.0,
2021-07-05,0.0,0.0,0.022321428571428572,0.0,
2021-07-12,0.0,0.0037593984962406013,0.03759398496240601,0.0,
2021-07-19,0.0,0.006993006993006993,0.05944055944055944,0.0,
2021-07-26,0.0,0.011583011583011582,0.0888030888030888,0.0,
2021-08-02,0.003968253968253968,0.011904761904761904,0.1388888888888889,0.0,
2021-08-09,0.006622516556291391,0.009933774834437087,0.17549668874172186,0.0,
2021-08-16,0.006042296072507553,0.012084592145015106,0.19939577039274925,0.0,
2021-08-23,0.006349206349206349,0.022222222222222223,0.24761904761904763,0.0,
2021-08-30,0.006514657980456026,0.03257328990228013,0.3289902280130293,0.0,
2021-09-06,0.006309148264984227,0.04100946372239748,0.4037854889589905,0.0,
2021-09-13,0.0056022408963585435,0.0392156862745098,0.48739495798319327,0.0,
2021-09-20,0.0024875621890547263,0.03233830845771144,0.582089552238806,0.0,
2021-09-27,0.0,0.02650602409638554,0.672289156626506,0.0,
2021-10-04,0.0,0.02702702702702703,0.7469287469287469,0.0,
2021-10-11,0.0,0.03482587064676617,0.8109452736318408,0.0,
2021-10-18,0.0,0.04040404040404041,0.8585858585858586,0.0,
2021-10-25,0.0,0.03412073490813648,0.889763779527559,0.0,
2021-11-01,0.0,0.02666666666666667,0.904,0.0,
2021-11-08,0.0,0.02512562814070352,0.9170854271356784,0.0,
2021-11-15,0.0,0.026378896882494004,0.9256594724220624,0.0,
2021-11-22,0.0,0.027848101265822784,0.9341772151898734,0.0,
2021-11-29,0.0,0.024024024024024024,0.93993993993994,0.0,
2021-12-06,0.0,0.016194331983805668,0.9311740890688259,0.008097165991902834,
2021-12-13,0.0,0.013157894736842105,0.8881578947368421,0.05921052631578947,
