week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0033333333333333335,0.0,0.0,0.0,0.0
2021-04-19,0.0049261083743842365,0.0,0.0,0.0,0.0
2021-04-26,0.005405405405405406,0.0,0.0,0.0,0.0
2021-05-03,0.015384615384615385,0.0,0.0,0.0,0.0
2021-05-10,0.021621621621621623,0.0,0.0,0.0,0.0
2021-05-17,0.012345679012345678,0.0,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0,0.0,0.0
2021-06-14,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0
2021-06-21,0.005763688760806916,0.020172910662824207,0.01440922190201729,0.0,0.0
2021-06-28,0.01909307875894988,0.050119331742243436,0.03341288782816229,0.0,0.0
2021-07-05,0.037694013303769404,0.10643015521064302,0.06208425720620843,0.0,0.0
2021-07-12,0.04609218436873747,0.1743486973947896,0.10220440881763528,0.0,0.0
2021-07-19,0.054249547920433995,0.23869801084990958,0.14647377938517178,0.0,0.0
2021-07-26,0.07603305785123966,0.32727272727272727,0.1768595041322314,0.0,0.0
2021-08-02,0.09480122324159021,0.42813455657492355,0.18654434250764526,0.0,0.0
2021-08-09,0.0914826498422713,0.5220820189274448,0.19558359621451105,0.0,0.0
2021-08-16,0.07964601769911504,0.5893805309734513,0.21061946902654868,0.0,0.0
2021-08-23,0.06873614190687362,0.6341463414634146,0.21729490022172948,0.0,0.0
2021-08-30,0.06015037593984962,0.6654135338345865,0.22180451127819548,0.0,0.0
2021-09-06,0.06015037593984963,0.6654135338345865,0.22180451127819548,0.0,0.0
2021-09-13,0.06015037593984962,0.6654135338345865,0.22180451127819545,0.0,0.0
2021-09-20,0.06015037593984962,0.6654135338345865,0.2218045112781955,0.0,0.0
2021-09-27,0.06015037593984962,0.6654135338345865,0.22180451127819548,0.0,0.0
2021-10-04,0.06015037593984962,0.6654135338345863,0.22180451127819545,0.0,0.0
2021-10-11,0.06015037593984962,0.6654135338345865,0.2218045112781955,0.0,0.0
2021-10-18,0.060150375939849614,0.6654135338345865,0.2218045112781955,0.0,0.0
2021-10-25,0.060150375939849614,0.6654135338345865,0.22180451127819548,0.0,0.0
2021-11-01,0.060150375939849614,0.6654135338345863,0.22180451127819542,0.0,0.0
2021-11-08,0.060150375939849586,0.665413533834586,0.22180451127819534,0.0,0.0
2021-11-15,0.060150375939849565,0.6654135338345862,0.2218045112781955,0.0,0.0
2021-11-22,0.060150375939849524,0.6654135338345857,0.22180451127819537,0.0,0.0
2021-11-29,0.0,0.0,0.0,0.0,0.0
2021-12-06,0.0,0.0,0.0,1.0,0.0
2021-12-13,0.0,0.0,0.0,1.0,0.0
2021-12-20,0.0,0.0,0.0,0.75,0.25
2021-12-27,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453
