week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0021337126600284497,0.0007112375533428165,0.0007112375533428165,0.0,
2021-05-03,0.005287009063444109,0.0015105740181268882,0.0022658610271903325,0.0,
2021-05-10,0.004720692368214005,0.003933910306845004,0.004720692368214005,0.0,
2021-05-17,0.0025817555938037868,0.00946643717728055,0.004302925989672977,0.0,
2021-05-24,0.0,0.013785790031813362,0.0042417815482502655,0.0,
2021-05-31,0.0,0.013493253373313344,0.005997001499250375,0.0,
2021-06-07,0.002347417840375587,0.011737089201877934,0.014084507042253521,0.0,
2021-06-14,0.0,0.011406844106463879,0.03802281368821293,0.0,
2021-06-21,0.0,0.013422818791946308,0.10067114093959731,0.0,
2021-06-28,0.0,0.021505376344086023,0.27956989247311825,0.0,
2021-07-05,0.0,0.03409090909090909,0.4772727272727273,0.0,
2021-07-12,0.02197802197802198,0.04395604395604396,0.6263736263736264,0.0,
2021-07-19,0.028037383177570093,0.08411214953271028,0.7102803738317757,0.0,
2021-07-26,0.029850746268656716,0.11940298507462686,0.7388059701492538,0.0,
2021-08-02,0.03205128205128205,0.11538461538461539,0.782051282051282,0.0,
2021-08-09,0.02717391304347826,0.09782608695652174,0.8315217391304348,0.0,
2021-08-16,0.017985611510791366,0.09352517985611511,0.8741007194244604,0.0,
2021-08-23,0.012135922330097087,0.08737864077669903,0.8932038834951457,0.0,
2021-08-30,0.008368200836820083,0.07531380753138076,0.9121338912133892,0.0,
2021-09-06,0.0037105751391465678,0.06493506493506493,0.9294990723562152,0.0,
2021-09-13,0.0015527950310559005,0.055900621118012424,0.9409937888198758,0.0,
2021-09-20,0.0,0.0461133069828722,0.9512516469038208,0.0,
2021-09-27,0.0,0.03411764705882353,0.9635294117647059,0.0,
2021-10-04,0.0010449320794148381,0.02612330198537095,0.9717868338557993,0.0,
2021-10-11,0.0018450184501845018,0.023062730627306273,0.974169741697417,0.0,
2021-10-18,0.0016750418760469012,0.023450586264656615,0.9731993299832495,0.0,
2021-10-25,0.0014814814814814814,0.02666666666666667,0.9703703703703703,0.0,
2021-11-01,0.0006234413965087282,0.03054862842892768,0.9675810473815462,0.0,
2021-11-08,0.0016375545851528383,0.027838427947598252,0.9699781659388647,0.0,
2021-11-15,0.0029222676797194622,0.02162478082992402,0.9754529514903565,0.0,
2021-11-22,0.002861230329041488,0.016452074391988557,0.9799713876967096,0.0,
2021-11-29,0.0007342143906020558,0.016152716593245228,0.9816446402349486,0.0,
2021-12-06,0.0,0.017197452229299363,0.9802547770700637,0.0012738853503184713,
2021-12-13,0.0,0.01758641600970285,0.9739235900545785,0.0066707095209217705,
2021-12-20,0.0,0.016405135520684736,0.9607703281027105,0.021398002853067047,
2021-12-27,0.0,0.014814814814814815,0.9301587301587302,0.05291005291005291,
2022-01-03,0.0,0.011857707509881422,0.8794466403162056,0.10474308300395258,
2022-01-10,0.0,0.004524886877828055,0.8280542986425339,0.1583710407239819,
