week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.004166666666666667,0.0,0.004166666666666667,0.0,
2021-05-03,0.011583011583011582,0.0,0.019305019305019305,0.0,
2021-05-10,0.015189873417721518,0.002531645569620253,0.03291139240506329,0.0,
2021-05-17,0.021538461538461538,0.006153846153846154,0.07076923076923076,0.0,
2021-05-24,0.03296703296703297,0.01098901098901099,0.22527472527472528,0.0,
2021-05-31,0.030837004405286344,0.01762114537444934,0.44493392070484583,0.0,
2021-06-07,0.025522041763341066,0.016241299303944315,0.4988399071925754,0.0,
2021-06-14,0.023381294964028777,0.014388489208633094,0.5755395683453237,0.0,
2021-06-21,0.015570934256055362,0.015570934256055362,0.7041522491349481,0.0,
2021-06-28,0.009852216748768473,0.016420361247947456,0.8210180623973727,0.0,
2021-07-05,0.008169934640522876,0.016339869281045753,0.8823529411764706,0.0,
2021-07-12,0.00644122383252818,0.01610305958132045,0.9259259259259259,0.0,
2021-07-19,0.004815409309791332,0.02086677367576244,0.9486356340288925,0.0,
2021-07-26,0.0036101083032490976,0.02527075812274368,0.9530685920577617,0.0,
2021-08-02,0.00404040404040404,0.028282828282828285,0.9555555555555556,0.0,
2021-08-09,0.004081632653061225,0.02857142857142857,0.9571428571428572,0.0,
2021-08-16,0.004008016032064128,0.03006012024048096,0.9599198396793587,0.0,
2021-08-23,0.003913894324853229,0.033268101761252444,0.958904109589041,0.0,
2021-08-30,0.00375234521575985,0.03564727954971857,0.9568480300187617,0.0,
2021-09-06,0.0018148820326678765,0.034482758620689655,0.9582577132486388,0.0,
2021-09-13,0.0018148820326678765,0.025408348457350273,0.9673321234119783,0.0,
2021-09-20,0.0018315018315018315,0.016483516483516484,0.9743589743589743,0.0,
2021-09-27,0.0018867924528301887,0.013207547169811321,0.9830188679245283,0.0,
2021-10-04,0.0,0.013972055888223553,0.9840319361277445,0.0,
2021-10-11,0.0,0.021231422505307854,0.9766454352441614,0.0,
2021-10-18,0.0,0.034408602150537634,0.9634408602150538,0.0,
2021-10-25,0.0,0.038306451612903226,0.9596774193548387,0.0,
2021-11-01,0.0,0.031067961165048542,0.9669902912621359,0.0,
2021-11-08,0.0,0.03155818540433925,0.9644970414201184,0.0,
2021-11-15,0.0,0.04150943396226415,0.9528301886792453,0.0018867924528301887,
2021-11-22,0.0,0.046153846153846156,0.9418803418803419,0.010256410256410256,
2021-11-29,0.0,0.0436241610738255,0.9312080536912751,0.025167785234899327,
2021-12-06,0.0,0.035781544256120526,0.911487758945386,0.05084745762711865,
2021-12-13,0.0,0.0255863539445629,0.8528784648187633,0.11940298507462686,
2021-12-20,0.0,0.01805869074492099,0.7268623024830699,0.255079006772009,
2021-12-27,0.0,0.010554089709762533,0.5488126649076517,0.43799472295514513,
