week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,,
2020-05-04,0.0,0.0,0.0,,
2020-05-11,0.0,0.0,0.0,,
2020-05-18,0.0,0.0,0.0,,
2020-05-25,0.0,0.0,0.0,,
2020-06-01,0.0,0.0,0.0,,
2020-06-08,0.0,0.0,0.0,,
2020-06-15,0.0,0.0,0.0,,
2020-06-22,0.0,0.0,0.0,,
2020-06-29,0.0,0.0,0.0,,
2020-07-06,0.0,0.0,0.0,,
2020-07-13,0.0,0.0,0.0,,
2020-07-20,0.0,0.0,0.0,,
2020-07-27,0.0,0.0,0.0,,
2020-08-03,0.0,0.0,0.0,,
2020-08-10,0.0,0.0,0.0,,
2020-08-17,0.0,0.0,0.0,,
2020-08-24,0.0,0.0,0.0,,
2020-08-31,0.0,0.0,0.0,,
2020-09-07,0.0,0.0,0.0,,
2020-09-14,0.0,0.0,0.0,,
2020-09-21,0.0,0.0,0.0,,
2020-09-28,0.0,0.0,0.0,,
2020-10-05,0.0,0.0,0.0,,
2020-10-12,0.0,0.0,0.0,,
2020-10-19,0.0,0.0,0.0,,
2020-10-26,0.0,0.0,0.0,,
2020-11-02,0.0,0.0,0.0,,
2020-11-09,0.0,0.0,0.0,,
2020-11-16,0.0,0.0,0.0,,
2020-11-23,0.0,0.0,0.0,,
2020-11-30,0.0,0.0,0.0,,
2020-12-07,0.0,0.0,0.0,,
2020-12-14,0.0,0.0,0.0,,
2020-12-21,0.0,0.0,0.0,,
2020-12-28,0.0,0.0,0.0,,
2021-01-04,0.0,0.0,0.0,,
2021-01-11,0.0,0.0,0.0,,
2021-01-18,0.0,0.0,0.0,,
2021-01-25,0.0,0.0,0.0,,
2021-02-01,0.0,0.0,0.0,,
2021-02-08,0.0,0.0,0.0,,
2021-02-15,0.0,0.0,0.0,,
2021-02-22,0.0,0.0,0.0,,
2021-03-01,0.0,0.0,0.0,,
2021-03-08,0.0,0.0,0.0,,
2021-03-15,0.0,0.0,0.0,,
2021-03-22,0.0,0.0,0.0,,
2021-03-29,0.0,0.0,0.0,,
2021-04-05,0.0,0.0,0.0,,
2021-04-12,0.02,0.0,0.02,,
2021-04-19,0.041666666666666664,0.010416666666666666,0.041666666666666664,,
2021-04-26,0.06293706293706294,0.013986013986013986,0.06993006993006994,,
2021-05-03,0.07792207792207792,0.025974025974025976,0.09090909090909091,,
2021-05-10,0.0967741935483871,0.03225806451612903,0.0967741935483871,,
2021-05-17,0.10126582278481013,0.02531645569620253,0.10126582278481013,,
2021-05-24,0.1,0.04,0.16,,
2021-05-31,0.125,0.05,0.3,,
2021-06-07,0.1875,0.0625,0.375,,
2021-06-14,0.18652849740932645,0.062176165803108814,0.37823834196891193,,
2021-06-21,0.18518518518518517,0.0617283950617284,0.3827160493827161,,
2021-06-28,0.183206106870229,0.06106870229007633,0.3893129770992366,,
2021-07-05,0.18000000000000002,0.06000000000000001,0.4,,
2021-07-12,0.17391304347826095,0.05797101449275366,0.4202898550724639,,
2021-07-19,0.1578947368421054,0.05263157894736845,0.4736842105263159,,
2021-07-26,0.0,0.0,1.0,,
2021-08-02,0.0,0.046875,0.921875,,
2021-08-09,0.0,0.047619047619047616,0.9206349206349206,,
2021-08-16,0.011904761904761904,0.05357142857142857,0.9285714285714286,,
2021-08-23,0.01984126984126984,0.05555555555555555,0.9206349206349206,,
2021-08-30,0.03643724696356275,0.06072874493927125,0.902834008097166,,
2021-09-06,0.047872340425531915,0.05851063829787234,0.8882978723404256,,
2021-09-13,0.05555555555555555,0.047619047619047616,0.8888888888888888,,
2021-09-20,0.07317073170731707,0.04878048780487805,0.8658536585365854,,
2021-09-27,0.07547169811320754,0.05660377358490566,0.8490566037735849,,
2021-10-04,0.06896551724137931,0.06896551724137931,0.8275862068965517,,
2021-10-11,0.0,0.07142857142857142,0.8571428571428571,,
2021-10-18,0.0,0.0,0.9230769230769231,,
2021-10-25,0.0,0.0,0.95,,
2021-11-01,0.0,0.0,0.96,,
2021-11-08,0.0,0.0,0.96875,,
2021-11-15,0.0,0.0,0.9736842105263158,,
2021-11-22,0.0,0.0,1.0,,
