week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.007692307692307693,0.0,0.007692307692307693,0.0,
2021-04-05,0.014184397163120567,0.0,0.014184397163120567,0.0,
2021-04-12,0.008264462809917356,0.0,0.008264462809917356,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.013513513513513514,0.0,0.013513513513513514,0.0,
2021-05-10,0.025974025974025976,0.0,0.025974025974025976,0.0,
2021-05-17,0.027777777777777776,0.0,0.027777777777777776,0.0,
2021-05-24,0.043478260869565216,0.0,0.014492753623188406,0.0,
2021-05-31,0.07142857142857142,0.0,0.02857142857142857,0.0,
2021-06-07,0.09375,0.0,0.046875,0.0,
2021-06-14,0.07272727272727272,0.0,0.07272727272727272,0.0,
2021-06-21,0.045454545454545456,0.0,0.1590909090909091,0.0,
2021-06-28,0.06060606060606061,0.0,0.30303030303030304,0.0,
2021-07-05,0.034482758620689655,0.034482758620689655,0.4482758620689655,0.0,
2021-07-12,0.0,0.06666666666666667,0.6333333333333333,0.0,
2021-07-19,0.0,0.07142857142857142,0.7142857142857143,0.0,
2021-07-26,0.0,0.1267605633802817,0.7323943661971831,0.0,
2021-08-02,0.009345794392523364,0.1588785046728972,0.7663551401869159,0.0,
2021-08-09,0.007407407407407408,0.15555555555555556,0.8,0.0,
2021-08-16,0.0,0.14864864864864866,0.8243243243243243,0.0,
2021-08-23,0.0,0.13714285714285715,0.8457142857142858,0.0,
2021-08-30,0.0,0.12449799196787148,0.8674698795180723,0.0,
2021-09-06,0.0,0.10584958217270195,0.8913649025069638,0.0,
2021-09-13,0.0,0.0734341252699784,0.9244060475161987,0.0,
2021-09-20,0.0,0.050682261208576995,0.9473684210526315,0.0,
2021-09-27,0.0,0.03898635477582846,0.9590643274853801,0.0,
2021-10-04,0.0,0.02952755905511811,0.968503937007874,0.0,
2021-10-11,0.0,0.025210084033613446,0.9726890756302521,0.0,
2021-10-18,0.0,0.02284263959390863,0.9746192893401016,0.0,
2021-10-25,0.0,0.01875,0.978125,0.0,
2021-11-01,0.0,0.02040816326530612,0.9755102040816327,0.0,
2021-11-08,0.0,0.024390243902439025,0.9695121951219512,0.0,
2021-11-15,0.0,0.017699115044247787,0.9734513274336283,0.0,
2021-11-22,0.0,0.012048192771084338,0.9759036144578314,0.0,
2021-11-29,0.0,0.0,0.95,0.016666666666666666,
2021-12-06,0.0,0.018518518518518517,0.8888888888888888,0.07407407407407407,
2021-12-13,0.0,0.0136986301369863,0.8767123287671232,0.1095890410958904,
2021-12-20,0.0,0.01,0.86,0.13,
2021-12-27,0.0,0.0,0.75,0.22727272727272727,
