week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.006896551724137931,0.0,0.0,0.0,
2021-04-19,0.006493506493506494,0.0,0.012987012987012988,0.0,
2021-04-26,0.012987012987012988,0.0,0.045454545454545456,0.0,
2021-05-03,0.013888888888888888,0.0,0.1111111111111111,0.0,
2021-05-10,0.006896551724137931,0.0,0.2482758620689655,0.0,
2021-05-17,0.0056179775280898875,0.0,0.43258426966292135,0.0,
2021-05-24,0.013452914798206279,0.0,0.5874439461883408,0.0,
2021-05-31,0.011320754716981131,0.0,0.7245283018867924,0.0,
2021-06-07,0.008645533141210375,0.0,0.8357348703170029,0.0,
2021-06-14,0.011627906976744186,0.002325581395348837,0.8860465116279069,0.0,
2021-06-21,0.016216216216216217,0.002702702702702703,0.9081081081081082,0.0,
2021-06-28,0.018050541516245487,0.0036101083032490976,0.9350180505415162,0.0,
2021-07-05,0.014598540145985401,0.0036496350364963502,0.9635036496350365,0.0,
2021-07-12,0.013793103448275862,0.0034482758620689655,0.9724137931034482,0.0,
2021-07-19,0.009569377990430622,0.0,0.9617224880382775,0.0,
2021-07-26,0.0,0.0,0.9453125,0.0,
2021-08-02,0.0,0.0,0.9310344827586207,0.0,
2021-08-09,0.007874015748031496,0.0,0.9291338582677166,0.0,
2021-08-16,0.016129032258064516,0.0,0.9274193548387096,0.0,
2021-08-23,0.00847457627118644,0.0,0.9491525423728814,0.0,
2021-08-30,0.0,0.007751937984496124,0.9767441860465116,0.0,
2021-09-06,0.0,0.0064516129032258064,0.9806451612903225,0.0,
2021-09-13,0.0,0.005681818181818182,0.9829545454545454,0.0,
2021-09-20,0.0,0.0055248618784530384,0.9834254143646409,0.0,
2021-09-27,0.0051813471502590676,0.0051813471502590676,0.9844559585492227,0.0,
2021-10-04,0.004366812227074236,0.0,0.982532751091703,0.0,
2021-10-11,0.010067114093959731,0.0,0.9899328859060402,0.0,
2021-10-18,0.009950248756218905,0.0,0.9875621890547264,0.0,
2021-10-25,0.006726457399103139,0.0,0.9910313901345291,0.0,
2021-11-01,0.002421307506053269,0.002421307506053269,0.9927360774818402,0.0,
2021-11-08,0.0,0.0030211480362537764,0.9939577039274925,0.0,
2021-11-15,0.0,0.0037593984962406013,0.9924812030075187,0.0,
2021-11-22,0.0,0.004878048780487805,0.9902439024390244,0.0,
2021-11-29,0.0,0.0,0.9919354838709677,0.0,
2021-12-06,0.0,0.0,0.9411764705882353,0.047058823529411764,
2021-12-13,0.0,0.0,0.7956989247311828,0.1827956989247312,
2021-12-20,0.0,0.0,0.6057692307692307,0.38461538461538464,
2021-12-27,0.0,0.0,0.42857142857142855,0.5584415584415584,
