week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.027777777777777776,0.0,
2021-04-05,0.0,0.0,0.05405405405405406,0.0,
2021-04-12,0.0,0.0,0.022727272727272728,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.016666666666666666,0.0,
2021-05-10,0.0,0.0,0.02040816326530612,0.0,
2021-05-17,0.0,0.0,0.021739130434782608,0.0,
2021-05-24,0.0,0.0,0.018518518518518517,0.0,
2021-05-31,0.0,0.029850746268656716,0.05970149253731343,0.0,
2021-06-07,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.0,
2021-06-14,0.02564102564102564,0.038461538461538464,0.11538461538461539,0.0,
2021-06-21,0.036585365853658534,0.036585365853658534,0.2073170731707317,0.0,
2021-06-28,0.04424778761061947,0.04424778761061947,0.35398230088495575,0.0,
2021-07-05,0.04666666666666667,0.05333333333333334,0.4866666666666667,0.0,
2021-07-12,0.049689440993788817,0.049689440993788817,0.577639751552795,0.0,
2021-07-19,0.05921052631578947,0.046052631578947366,0.5986842105263158,0.0,
2021-07-26,0.051470588235294115,0.04411764705882353,0.5882352941176471,0.0,
2021-08-02,0.038461538461538464,0.046153846153846156,0.5846153846153846,0.0,
2021-08-09,0.025,0.05,0.575,0.0,
2021-08-16,0.02247191011235955,0.033707865168539325,0.5842696629213483,0.0,
2021-08-23,0.016129032258064516,0.016129032258064516,0.5645161290322581,0.0,
2021-08-30,0.0196078431372549,0.0,0.5294117647058824,0.0,
2021-09-06,0.0,0.0,0.48717948717948717,0.0,
2021-09-13,0.0,0.0,0.4750000000000001,0.0,
2021-09-20,0.0,0.0,0.44186046511627913,0.0,
2021-09-27,0.0,0.0,0.0,0.0,
2021-10-04,0.25,0.0,0.25,0.0,
2021-10-11,0.5,0.0,0.5,0.0,
2021-10-18,0.25,0.0,0.5,0.0,
2021-10-25,0.16666666666666666,0.16666666666666666,0.5,0.0,
2021-11-01,0.25,0.125,0.5,0.0,
2021-11-08,0.16666666666666666,0.16666666666666666,0.5,0.0,
2021-11-15,0.25,0.0,0.25,0.0,
2021-11-22,0.3333333333333333,0.0,0.0,0.0,
2021-11-29,0.0,0.25,0.0,0.25,
2021-12-06,0.0,0.125,0.125,0.5,
2021-12-13,0.0,0.07692307692307693,0.15384615384615385,0.6923076923076923,
2021-12-20,0.0,0.0,0.16666666666666666,0.75,
2021-12-27,0.0,0.0,0.1111111111111111,0.8333333333333334,
2022-01-03,0.0,0.0,0.0,1.0,
