week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.14285714285714285,0.0,
2021-05-24,0.0,0.0625,0.3125,0.0,
2021-05-31,0.0,0.08695652173913043,0.5217391304347826,0.0,
2021-06-07,0.0,0.08333333333333333,0.7916666666666666,0.0,
2021-06-14,0.0,0.05555555555555555,0.8888888888888888,0.0,
2021-06-21,0.0,0.1,0.9,0.0,
2021-06-28,0.0,0.14285714285714285,0.8571428571428571,0.0,
2021-07-05,0.0,0.0,0.75,0.0,
2021-07-12,0.0,0.0,1.0,0.0,
2021-07-19,0.0,0.0,0.75,0.0,
2021-07-26,0.0,0.0,1.0,0.0,
2021-08-02,0.0,0.1111111111111111,0.8888888888888888,0.0,
2021-08-09,0.0,0.045454545454545456,0.9090909090909091,0.0,
2021-08-16,0.0,0.02702702702702703,0.9459459459459459,0.0,
2021-08-23,0.0,0.024390243902439025,0.975609756097561,0.0,
2021-08-30,0.0,0.02857142857142857,0.9714285714285714,0.0,
2021-09-06,0.0,0.03225806451612903,0.967741935483871,0.0,
2021-09-13,0.0,0.05714285714285714,0.9428571428571428,0.0,
2021-09-20,0.0,0.07692307692307693,0.9230769230769231,0.0,
2021-09-27,0.0,0.05714285714285714,0.9428571428571428,0.0,
2021-10-04,0.0,0.034482758620689655,0.9310344827586207,0.0,
2021-10-11,0.0,0.0,0.9615384615384616,0.0,
2021-10-18,0.0,0.0,1.0,0.0,
2021-10-25,0.0,0.0,1.0,0.0,
2021-11-01,0.0,0.0,0.9285714285714286,0.0,
2021-11-08,0.0,0.0,0.9523809523809523,0.0,
2021-11-15,0.0,0.0,1.0,0.0,
2021-11-22,0.0,0.0,1.0,0.0,
2021-11-29,0.0,0.0,1.0,0.0,
