week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0
2021-04-12,0.043010752688172046,0.021505376344086023,0.043010752688172046,0.0,0.0
2021-04-19,0.11827956989247312,0.043010752688172046,0.10752688172043011,0.0,0.0
2021-04-26,0.25806451612903225,0.053763440860215055,0.17204301075268819,0.0,0.0
2021-05-03,0.3333333333333333,0.053763440860215055,0.25806451612903225,0.0,0.0
2021-05-10,0.23076923076923078,0.09615384615384616,0.4423076923076923,0.0,0.0
2021-05-17,0.10294117647058823,0.18382352941176472,0.5882352941176471,0.0,0.0
2021-05-24,0.050955414012738856,0.2356687898089172,0.6114649681528662,0.0,0.0
2021-05-31,0.034482758620689655,0.2206896551724138,0.6551724137931034,0.0,0.0
2021-06-07,0.02608695652173913,0.14782608695652175,0.7565217391304347,0.0,0.0
2021-06-14,0.011235955056179775,0.06741573033707865,0.8651685393258427,0.0,0.0
2021-06-21,0.0,0.022727272727272728,0.9204545454545454,0.0,0.0
2021-06-28,0.0,0.024096385542168676,0.927710843373494,0.0,0.0
2021-07-05,0.02631578947368421,0.06578947368421052,0.8552631578947368,0.0,0.0
2021-07-12,0.034482758620689655,0.04827586206896552,0.896551724137931,0.0,0.0
2021-07-19,0.016835016835016835,0.016835016835016835,0.9595959595959596,0.0,0.0
2021-07-26,0.004819277108433735,0.004819277108433735,0.9855421686746988,0.0,0.0
2021-08-02,0.0,0.006896551724137931,0.9908045977011494,0.0,0.0
2021-08-09,0.0,0.020202020202020204,0.9772727272727273,0.0,0.0
2021-08-16,0.0,0.04986149584487535,0.9445983379501385,0.0,0.0
2021-08-23,0.002577319587628866,0.061855670103092786,0.9329896907216495,0.0,0.0
2021-08-30,0.0,0.03803131991051454,0.9574944071588367,0.0,0.0
2021-09-06,0.0,0.015765765765765764,0.9819819819819819,0.0,0.0
2021-09-13,0.0,0.005154639175257732,0.9922680412371134,0.0,0.0
2021-09-20,0.0,0.002932551319648094,0.9970674486803519,0.0,0.0
2021-09-27,0.0,0.0031645569620253164,0.9968354430379747,0.0,0.0
2021-10-04,0.0,0.0,1.0,0.0,0.0
2021-10-11,0.0,0.0,1.0,0.0,0.0
2021-10-18,0.0,0.0,1.0,0.0,0.0
2021-10-25,0.0,0.0,1.0,0.0,0.0
2021-11-01,0.0,0.0,1.0,0.0,0.0
2021-11-08,0.0,0.0,1.0,0.0,0.0
2021-11-15,0.0,0.0,1.0,0.0,0.0
2021-11-22,0.0,0.004166666666666667,0.9916666666666667,0.0,0.0
2021-11-29,0.0,0.008888888888888889,0.9733333333333334,0.013333333333333334,0.0
2021-12-06,0.0,0.013513513513513514,0.8918918918918919,0.09009009009009009,0.0
2021-12-13,0.0,0.011811023622047244,0.7047244094488189,0.2755905511811024,0.0
2021-12-20,0.0,0.009966777408637873,0.5249169435215947,0.45514950166112955,0.0033222591362126247
2021-12-27,0.0,0.006578947368421052,0.4440789473684211,0.5361842105263158,0.006578947368421052
2022-01-03,0.0,0.0,0.36099585062240663,0.6099585062240664,0.02074688796680498
