week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.0,0.0,
2021-06-07,0.0,0.0,0.0,0.0,
2021-06-14,0.0,0.0,0.0,0.0,
2021-06-21,0.0,0.0,0.0,0.0,
2021-06-28,0.0,0.0,0.0,0.0,
2021-07-05,0.0,0.0,0.0,0.0,
2021-07-12,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,
2021-07-19,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.0,
2021-07-26,0.044444444444444446,0.35555555555555557,0.3111111111111111,0.0,
2021-08-02,0.016666666666666666,0.4666666666666667,0.38333333333333336,0.0,
2021-08-09,0.005208333333333333,0.484375,0.4270833333333333,0.0,
2021-08-16,0.0,0.49242424242424243,0.44696969696969696,0.0,
2021-08-23,0.0,0.49029126213592233,0.44660194174757284,0.0,
2021-08-30,0.0,0.4946236559139785,0.45698924731182794,0.0,
2021-09-06,0.0,0.49242424242424243,0.4696969696969697,0.0,
2021-09-13,0.0,0.4639175257731959,0.5051546391752577,0.0,
2021-09-20,0.0,0.41836734693877553,0.5612244897959183,0.0,
2021-09-27,0.0,0.4065934065934066,0.5824175824175825,0.0,
2021-10-04,0.0,0.4,0.5818181818181818,0.0,
2021-10-11,0.0,0.4642857142857143,0.5,0.0,
2021-10-18,0.0,0.6666666666666666,0.3333333333333333,0.0,
2021-10-25,0.0,0.7368421052631579,0.2631578947368421,0.0,
2021-11-01,0.0,0.6923076923076923,0.3076923076923077,0.0,
2021-11-08,0.0,0.5,0.5,0.0,
2021-11-15,0.0,0.4117647058823529,0.5882352941176471,0.0,
2021-11-22,0.0,0.3333333333333333,0.6666666666666666,0.0,
2021-11-29,0.0,0.4166666666666667,0.5833333333333334,0.0,
2021-12-06,0.0,0.4666666666666667,0.4666666666666667,0.0,
2021-12-13,0.0,0.4375,0.375,0.125,
