week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.007042253521126761,0.0,
2021-03-08,0.0,0.0,0.028455284552845527,0.0,
2021-03-15,0.0,0.0,0.0410958904109589,0.0,
2021-03-22,0.0,0.0,0.022508038585209004,0.0,
2021-03-29,0.0,0.0,0.009202453987730062,0.0,
2021-04-05,0.0,0.0,0.017804154302670624,0.0,
2021-04-12,0.0,0.0,0.028125,0.0,
2021-04-19,0.0,0.0,0.019157088122605363,0.0,
2021-04-26,0.0,0.0,0.004975124378109453,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0,0.00964630225080386,0.0,
2021-06-07,0.003436426116838488,0.003436426116838488,0.048109965635738834,0.0,
2021-06-14,0.0,0.008064516129032258,0.10080645161290322,0.0,
2021-06-21,0.0,0.005681818181818182,0.13068181818181818,0.0,
2021-06-28,0.008064516129032258,0.024193548387096774,0.18548387096774194,0.0,
2021-07-05,0.017543859649122806,0.08771929824561403,0.3684210526315789,0.0,
2021-07-12,0.015625,0.140625,0.5546875,0.0,
2021-07-19,0.014285714285714285,0.17857142857142858,0.6571428571428571,0.0,
2021-07-26,0.0125,0.25,0.675,0.0,
2021-08-02,0.005376344086021506,0.2903225806451613,0.6774193548387096,0.0,
2021-08-09,0.0,0.273972602739726,0.7123287671232876,0.0,
2021-08-16,0.0,0.21978021978021978,0.7728937728937729,0.0,
2021-08-23,0.0,0.17701863354037267,0.8167701863354038,0.0,
2021-08-30,0.0,0.16666666666666666,0.8306451612903226,0.0,
2021-09-06,0.0,0.17233560090702948,0.8253968253968254,0.0,
2021-09-13,0.0,0.1599229287090559,0.8362235067437379,0.0,
2021-09-20,0.0,0.14555765595463138,0.8525519848771267,0.0,
2021-09-27,0.0020161290322580645,0.14919354838709678,0.8487903225806451,0.0,
2021-10-04,0.0017211703958691911,0.1703958691910499,0.8244406196213425,0.0,
2021-10-11,0.0027100271002710027,0.18834688346883469,0.8075880758807588,0.0,
2021-10-18,0.0024752475247524753,0.1806930693069307,0.8155940594059405,0.0,
2021-10-25,0.0011723329425556857,0.14536928487690504,0.8522860492379836,0.0,
2021-11-01,0.0010204081632653062,0.11122448979591837,0.886734693877551,0.0,
2021-11-08,0.0037418147801683817,0.09167446211412535,0.9036482694106641,0.0,
2021-11-15,0.006134969325153374,0.07668711656441718,0.9161554192229039,0.0,
2021-11-22,0.005050505050505051,0.06060606060606061,0.9318181818181818,0.0,
2021-11-29,0.0013908205841446453,0.043115438108484005,0.9513212795549374,0.0013908205841446453,
2021-12-06,0.0,0.03829787234042553,0.9560283687943263,0.00425531914893617,
2021-12-13,0.0,0.041353383458646614,0.9473684210526315,0.009398496240601503,
2021-12-20,0.0,0.039568345323741004,0.9244604316546763,0.03237410071942446,
2021-12-27,0.0,0.024390243902439025,0.8699186991869918,0.0975609756097561,
