week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.0,0.0,0.0,0.0,
2021-04-26,0.0,0.0,0.0,0.0,
2021-05-03,0.0,0.0,0.0,0.0,
2021-05-10,0.0,0.0,0.0013966480446927375,0.0,
2021-05-17,0.0,0.0,0.0,0.0,
2021-05-24,0.0,0.0,0.0,0.0,
2021-05-31,0.0,0.0027548209366391185,0.0027548209366391185,0.0,
2021-06-07,0.003067484662576687,0.006134969325153374,0.012269938650306749,0.0,
2021-06-14,0.0036231884057971015,0.0036231884057971015,0.050724637681159424,0.0,
2021-06-21,0.004524886877828055,0.004524886877828055,0.16289592760180996,0.0,
2021-06-28,0.0048543689320388345,0.0048543689320388345,0.32038834951456313,0.0,
2021-07-05,0.00881057268722467,0.00881057268722467,0.5418502202643172,0.0,
2021-07-12,0.014134275618374558,0.024734982332155476,0.7561837455830389,0.0,
2021-07-19,0.014164305949008499,0.042492917847025496,0.8640226628895185,0.0,
2021-07-26,0.013392857142857142,0.049107142857142856,0.9040178571428571,0.0,
2021-08-02,0.010135135135135136,0.052364864864864864,0.9222972972972973,0.0,
2021-08-09,0.00646830530401035,0.05304010349288486,0.9314359637774903,0.0,
2021-08-16,0.00423728813559322,0.05508474576271186,0.934322033898305,0.0,
2021-08-23,0.0027573529411764708,0.06985294117647059,0.9237132352941176,0.0,
2021-08-30,0.0016570008285004142,0.08036454018227009,0.9163214581607291,0.0,
2021-09-06,0.001635322976287817,0.06950122649223221,0.9272281275551921,0.0,
2021-09-13,0.0008710801393728223,0.05749128919860627,0.9398954703832753,0.0,
2021-09-20,0.0009225092250922509,0.0544280442804428,0.9428044280442804,0.0,
2021-09-27,0.0008928571428571428,0.05267857142857143,0.9455357142857143,0.0,
2021-10-04,0.0008097165991902834,0.05263157894736842,0.945748987854251,0.0,
2021-10-11,0.0,0.05709992486851991,0.9421487603305785,0.0,
2021-10-18,0.0,0.0572463768115942,0.9420289855072463,0.0,
2021-10-25,0.0,0.05316091954022988,0.9461206896551724,0.0,
2021-11-01,0.0,0.048507462686567165,0.9507462686567164,0.0,
2021-11-08,0.0,0.047581284694686754,0.9516256938937351,0.0,
2021-11-15,0.0,0.04968454258675079,0.9495268138801262,0.0,
2021-11-22,0.0,0.04927975739196361,0.9492039423805914,0.0,
2021-11-29,0.0,0.044740973312401885,0.9521193092621664,0.0007849293563579278,
2021-12-06,0.0,0.037399821905609976,0.9519145146927872,0.004452359750667854,
2021-12-13,0.0,0.03056768558951965,0.9246724890829694,0.026200873362445413,
2021-12-20,0.0,0.023872679045092837,0.8448275862068966,0.10344827586206896,
