week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.01282051282051282,0.0,0.0
2021-03-15,0.0,0.0,0.030612244897959183,0.0,0.0
2021-03-22,0.005050505050505051,0.0,0.045454545454545456,0.0,0.0
2021-03-29,0.005747126436781609,0.0,0.05172413793103448,0.0,0.0
2021-04-05,0.0,0.0,0.05405405405405406,0.0,0.0
2021-04-12,0.0,0.0,0.0364963503649635,0.0,0.0
2021-04-19,0.0,0.0,0.0189873417721519,0.0,0.0
2021-04-26,0.005291005291005291,0.0,0.015873015873015872,0.0,0.0
2021-05-03,0.018779342723004695,0.0,0.023474178403755867,0.0,0.0
2021-05-10,0.024291497975708502,0.0,0.044534412955465584,0.0,0.0
2021-05-17,0.025735294117647058,0.003676470588235294,0.08088235294117647,0.0,0.0
2021-05-24,0.02564102564102564,0.016025641025641024,0.14102564102564102,0.0,0.0
2021-05-31,0.03508771929824561,0.040100250626566414,0.22305764411027568,0.0,0.0
2021-06-07,0.04365079365079365,0.07142857142857142,0.3055555555555556,0.0,0.0
2021-06-14,0.043478260869565216,0.12207357859531773,0.4013377926421405,0.0,0.0
2021-06-21,0.043478260869565216,0.16983695652173914,0.501358695652174,0.0,0.0
2021-06-28,0.045303867403314914,0.18121546961325966,0.5823204419889503,0.0,0.0
2021-07-05,0.04483430799220273,0.1695906432748538,0.6500974658869396,0.0,0.0
2021-07-12,0.0369290573372206,0.16034985422740525,0.7094266277939747,0.0,0.0
2021-07-19,0.02798708288482239,0.155005382131324,0.7502691065662002,0.0,0.0
2021-07-26,0.023612750885478158,0.14403778040141677,0.7756788665879575,0.0,0.0
2021-08-02,0.023661270236612703,0.12577833125778332,0.7995018679950187,0.0,0.0
2021-08-09,0.023255813953488372,0.1094391244870041,0.8221614227086184,0.0,0.0
2021-08-16,0.0213089802130898,0.1050228310502283,0.837138508371385,0.0,0.0
2021-08-23,0.01904761904761905,0.10634920634920635,0.8428571428571429,0.0,0.0
2021-08-30,0.017684887459807074,0.09967845659163987,0.8504823151125402,0.0,0.0
2021-09-06,0.016863406408094434,0.08600337268128162,0.863406408094435,0.0,0.0
2021-09-13,0.015503875968992248,0.06976744186046512,0.874031007751938,0.0,0.0
2021-09-20,0.014184397163120567,0.0591016548463357,0.8747044917257684,0.0,0.0
2021-09-27,0.009174311926605505,0.05504587155963303,0.8746177370030581,0.0,0.0
2021-10-04,0.004,0.044,0.884,0.0,0.0
2021-10-11,0.0,0.0365296803652968,0.8949771689497716,0.0,0.0
2021-10-18,0.0,0.03125,0.9010416666666666,0.0,0.0
2021-10-25,0.0,0.028368794326241134,0.9078014184397163,0.0,0.0
2021-11-01,0.0,0.021739130434782608,0.8804347826086957,0.03260869565217391,0.0
2021-11-08,0.0,0.024691358024691357,0.6296296296296297,0.25925925925925924,0.0
2021-11-15,0.006711409395973154,0.013422818791946308,0.26174496644295303,0.6577181208053692,0.0
2021-11-22,0.006191950464396285,0.006191950464396285,0.11145510835913312,0.8359133126934984,0.0
2021-11-29,0.005535055350553505,0.0018450184501845018,0.055350553505535055,0.9077490774907749,0.0036900369003690036
2021-12-06,0.0032733224222585926,0.0,0.02618657937806874,0.9410801963993454,0.008183306055646482
2021-12-13,0.0,0.0,0.011627906976744186,0.9511627906976744,0.018604651162790697
2021-12-20,0.0,0.0,0.004424778761061947,0.9513274336283186,0.022123893805309734
2021-12-27,0.0,0.0,0.0,0.963963963963964,0.018018018018018018
