week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,
2020-05-04,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,
2020-07-13,0.0,0.0,0.0,0.0,
2020-07-20,0.0,0.0,0.0,0.0,
2020-07-27,0.0,0.0,0.0,0.0,
2020-08-03,0.0,0.0,0.0,0.0,
2020-08-10,0.0,0.0,0.0,0.0,
2020-08-17,0.0,0.0,0.0,0.0,
2020-08-24,0.0,0.0,0.0,0.0,
2020-08-31,0.0,0.0,0.0,0.0,
2020-09-07,0.0,0.0,0.0,0.0,
2020-09-14,0.0,0.0,0.0,0.0,
2020-09-21,0.0,0.0,0.0,0.0,
2020-09-28,0.0,0.0,0.0,0.0,
2020-10-05,0.0,0.0,0.0,0.0,
2020-10-12,0.0,0.0,0.0,0.0,
2020-10-19,0.0,0.0,0.0,0.0,
2020-10-26,0.0,0.0,0.0,0.0,
2020-11-02,0.0,0.0,0.0,0.0,
2020-11-09,0.0,0.0,0.0,0.0,
2020-11-16,0.0,0.0,0.0,0.0,
2020-11-23,0.0,0.0,0.0,0.0,
2020-11-30,0.0,0.0,0.0,0.0,
2020-12-07,0.0,0.0,0.0,0.0,
2020-12-14,0.0,0.0,0.0,0.0,
2020-12-21,0.0,0.0,0.0,0.0,
2020-12-28,0.0,0.0,0.0,0.0,
2021-01-04,0.0,0.0,0.0,0.0,
2021-01-11,0.0,0.0,0.0,0.0,
2021-01-18,0.0,0.0,0.0,0.0,
2021-01-25,0.0,0.0,0.0,0.0,
2021-02-01,0.0,0.0,0.0,0.0,
2021-02-08,0.0,0.0,0.0,0.0,
2021-02-15,0.0,0.0,0.0,0.0,
2021-02-22,0.0,0.0,0.0,0.0,
2021-03-01,0.0,0.0,0.0,0.0,
2021-03-08,0.0,0.0,0.0,0.0,
2021-03-15,0.0,0.0,0.0,0.0,
2021-03-22,0.0,0.0,0.0,0.0,
2021-03-29,0.0,0.0,0.0,0.0,
2021-04-05,0.0,0.0,0.0,0.0,
2021-04-12,0.0,0.0,0.0,0.0,
2021-04-19,0.004464285714285714,0.0,0.0,0.0,
2021-04-26,0.008298755186721992,0.0,0.004149377593360996,0.0,
2021-05-03,0.014285714285714285,0.0,0.009523809523809525,0.0,
2021-05-10,0.020134228187919462,0.0,0.020134228187919462,0.0,
2021-05-17,0.018691588785046728,0.0,0.028037383177570093,0.0,
2021-05-24,0.009345794392523364,0.0,0.028037383177570093,0.0,
2021-05-31,0.0,0.006535947712418301,0.032679738562091505,0.0,
2021-06-07,0.0,0.014705882352941176,0.03431372549019608,0.0,
2021-06-14,0.004484304932735426,0.04484304932735426,0.05829596412556054,0.0,
2021-06-21,0.011811023622047244,0.11023622047244094,0.1062992125984252,0.0,
2021-06-28,0.019169329073482427,0.18849840255591055,0.134185303514377,0.0,
2021-07-05,0.027932960893854747,0.29329608938547486,0.13687150837988826,0.0,
2021-07-12,0.023980815347721823,0.41247002398081534,0.11990407673860912,0.0,
2021-07-19,0.01639344262295082,0.48975409836065575,0.1290983606557377,0.0,
2021-07-26,0.01532567049808429,0.5478927203065134,0.15134099616858238,0.0,
2021-08-02,0.0199203187250996,0.6434262948207171,0.13545816733067728,0.0,
2021-08-09,0.024553571428571428,0.7410714285714286,0.11830357142857142,0.0,
2021-08-16,0.025,0.7909090909090909,0.1318181818181818,0.0,
2021-08-23,0.02404809619238477,0.8176352705410822,0.1282565130260521,0.0,
2021-08-30,0.02702702702702703,0.8445945945945946,0.11148648648648649,0.0,
2021-09-06,0.02654867256637168,0.855457227138643,0.10619469026548672,0.0,
2021-09-13,0.022865853658536585,0.8490853658536586,0.12042682926829268,0.0,
2021-09-20,0.018214936247723135,0.819672131147541,0.15846994535519127,0.0,
2021-09-27,0.010309278350515464,0.7896907216494845,0.19381443298969073,0.0,
2021-10-04,0.008064516129032258,0.7923387096774194,0.19556451612903225,0.0,
2021-10-11,0.007207207207207207,0.7891891891891892,0.2018018018018018,0.0,
2021-10-18,0.007541478129713424,0.7662141779788839,0.22473604826546004,0.0,
2021-10-25,0.010638297872340425,0.738031914893617,0.25,0.0,
2021-11-01,0.014416775884665793,0.6985583224115334,0.2857142857142857,0.0,
2021-11-08,0.01310615989515072,0.6592398427260813,0.32634338138925295,0.0,
2021-11-15,0.009472259810554804,0.6292286874154263,0.35994587280108253,0.0,
2021-11-22,0.006983240223463687,0.5935754189944135,0.39664804469273746,0.0,
2021-11-29,0.0026455026455026454,0.5568783068783069,0.43386243386243384,0.003968253968253968,
2021-12-06,0.0012422360248447205,0.5279503105590062,0.46335403726708074,0.006211180124223602,
2021-12-13,0.0,0.5153061224489796,0.47831632653061223,0.00510204081632653,
2021-12-20,0.0,0.5128983308042488,0.48406676783004554,0.0015174506828528073,
